k__Viruses;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Plectroviridae;g__Plectrovirus;s__Acholeplasma virus L51;t__
k__Viruses;p__;c__;o__;f__Plasmaviridae;g__Plasmavirus;s__Acholeplasma virus L2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Steinhofvirus;s__Achromobacter virus 83-24;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Jwalphavirus;s__Achromobacter virus JWAlpha;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Jwalphavirus;s__Achromobacter virus JWAlpha;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Achromobacter phage JWF;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Steinhofvirus;s__Achromobacter virus JWX;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Achromobacter phage Mano;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Moturavirus;s__Achromobacter virus Motura;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Achromobacter phage phiAxp-1;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Achromobacter phage phiAxp-2;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Jwalphavirus;s__Achromobacter virus Axp3;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Achromobacter phage vB_AchrS_AchV4;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Dongdastvirus;s__Achromobacter virus Axy04;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Pourcelvirus;s__Achromobacter virus Axy10;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Pourcelvirus;s__Achromobacter virus Axy11;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Dongdastvirus;s__Achromobacter virus Axy12;t__
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Dongdastvirus;s__Achromobacter virus Axy24;t__
k__Viruses;p__;c__;o__;f__Ampullaviridae;g__Bottigliavirus;s__Bottigliavirus ABV;t__
k__Viruses;p__;c__;o__;f__Ampullaviridae;g__Bottigliavirus;s__Bottigliavirus ABV2;t__
k__Viruses;p__;c__;o__;f__Ampullaviridae;g__Bottigliavirus;s__Bottigliavirus ABV3;t__
k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Gammalipothrixvirus;s__Acidianus filamentous virus 1;t__
k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Gammalipothrixvirus;s__Acidianus filamentous virus 1;t__
k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Deltalipothrixvirus;s__Acidianus filamentous virus 2;t__
k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Deltalipothrixvirus;s__Acidianus filamentous virus 2;t__
k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 3;t__
k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 6;t__
k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 7;t__
k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 8;t__
k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 9;t__
k__Viruses;p__Taleaviricota;c__Tokiviricetes;o__Ligamenvirales;f__Lipothrixviridae;g__Betalipothrixvirus;s__Acidianus filamentous virus 9;t__
