virus_name	refseq_id	virus_taxid	virus_lineage	evidence	host_name	host_taxid	host_lineage
Bacillus phage phi105	NC_004167, NC_048631	10717	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Spizizenvirus; Bacillus virus phi105	Literature, RefSeq, UniProt	Bacillus subtilis	1423	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group
Bacillus phage SPG24	NC_030903, NC_041835, NC_041836, NC_041837, NC_041838, NC_041839, NC_041840, NC_041841, NC_041842	1497851	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Nitunavirus; Bacillus virus SPG24	Literature, RefSeq	Bacillus subtilis	1423	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group
Bacteriophage P2	NC_001895, NC_041848	2905681	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Peduovirinae; Peduovirus; Escherichia virus P2	Literature	Escherichia coli K-12	83333	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli
Bacteriophage P2	NC_001895, NC_041848	2905681	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Peduovirinae; Peduovirus; Escherichia virus P2	Literature	Escherichia coli C	498388	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli
Cyanophage S-RIM12	NC_047715, NC_047716, NC_047717	1278402	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Brizovirus; unclassified Brizovirus	NCBI Virus, RefSeq	Synechococcus	1129	Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Synechococcaceae
Enterobacteria phage f1	GQ153919, J02448, JF719732, JF719733, JF719734	10863	Viruses; Monodnaviria; Loebvirae; Hofneiviricota; Faserviricetes; Tubulavirales; Inoviridae; Inovirus; Escherichia virus M13	RefSeq, UniProt	Escherichia coli	562	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
Enterobacteria phage T3	NC_003298, NC_047864	10759	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Autographiviridae; Studiervirinae; Teetrevirus; Escherichia virus T3	RefSeq, UniProt	Escherichia coli	562	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
Enterococcus phage VD13	NC_024212, NC_041861	1458851	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Saphexavirus; Enterococcus virus VD13	Literature	Enterococcus faecalis ATCC 29200	525271	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis
Escherichia phage K1F	NC_007456, NC_007636	344021	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Autographiviridae; Studiervirinae; Kayfunavirus; Escherichia virus K1F	RefSeq, UniProt	Escherichia coli	562	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
Klebsiella virus KP32	NC_047968, NC_047969, NC_047970, NC_047971	1985726	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Autographiviridae; Studiervirinae; Przondovirus	NCBI Virus, RefSeq	Klebsiella pneumoniae	573	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella
