virus_name	viral_acc	report_host	gcf	find_taxrank
Acholeplasma phage MV-L51	NC_001341	Acholeplasma laidlawii	GCF_900476025.1	species
Acholeplasma virus L2	NC_001447	Acholeplasma laidlawii	GCF_900476025.1	species
Achromobacter phage 83-24	NC_028834	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage JWAlpha	NC_023556	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage JWDelta	KF787094	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage JWF	NC_029075	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage JWX	NC_028768	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage Mano	NC_054147	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage phiAxp-1	NC_029033	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage phiAxp-2	NC_029106	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage phiAxp-3	NC_028908	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage vB_AchrS_AchV4	NC_052974	Achromobacter spanius	GCF_900636675.1	species
Achromobacter phage vB_AxyP_19-32_Axy04	NC_054967	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage vB_AxyP_19-32_Axy10	NC_054971	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage vB_AxyP_19-32_Axy11	NC_054972	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage vB_AxyP_19-32_Axy12	NC_054968	Achromobacter xylosoxidans	GCF_008432465.1	species
Achromobacter phage vB_AxyP_19-32_Axy24	NC_054969	Achromobacter xylosoxidans	GCF_008432465.1	species
Acidianus filamentous virus 1	NC_005830	Acidianus hospitalis	GCF_000213215.1	species
Acidianus spindle-shaped virus 1	NC_013585	Acidianus brierleyi	GCF_003201835.2	species
Acidithiobacillus phage AcaML1	JX507079	Acidithiobacillus caldus ATCC 51756	GCF_000175575.2	strain
Acidovorax phage ACP17	NC_041997	Acidovorax citrulli	GCF_001593665.2	species
Acinetobacter phage AB1	NC_042028	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage AbKT21phiIII	NC_048142	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Abp1	NC_021316	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage AbP2	NC_041998	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage AbTZA1	NC_049445	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Acj61	NC_014661	Acinetobacter johnsonii	GCF_021496365.1	species
Acinetobacter phage Acj9	NC_014663	Acinetobacter johnsonii	GCF_021496365.1	species
Acinetobacter phage AM101	NC_049511	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage AP22	NC_017984	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Fri1	NC_028848	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage IME-200	NC_028987	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage IMEAB3	NC_023590	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage KARL-1	NC_049441	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Loki	NC_042137	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Loki	NC_042137	Acinetobacter lwoffii	GCF_019343495.1	species
Acinetobacter phage Loki	NC_042137	Acinetobacter baylyi ADP1	GCF_000046845.1	strain
Acinetobacter phage Loki	NC_042137	Acinetobacter baumannii ATCC 17978	GCF_013372085.1	strain
Acinetobacter phage LZ35	NC_031117	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage Petty	NC_023570	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage phiAB1	NC_028675	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage phiAB6	NC_031086	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage phiAC-1	NC_028995	Acinetobacter soli	GCF_018139125.1	species
Acinetobacter phage Presley	NC_023581	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage SH-Ab 15519	NC_041905	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage SWH-Ab-1	NC_047896	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage SWH-Ab-3	NC_047883	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM-IME-AB2	NC_041857	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Acibel004	NC_025462	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Apostate	NC_049491	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_B09_Aci01-1	NC_048074	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_B09_Aci02-2	NC_048075	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_B09_Aci05	NC_048080	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Berthold	NC_049490	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Kimel	NC_049492	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Konradin	NC_049479	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_Lazarus	NC_049493	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_ME3	NC_041884	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_phiAbaA1	NC_031280	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaM_PhT2	NC_049494	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_46-62_Aci07	NC_048076	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_Acibel007	NC_025457	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_AS11	NC_041915	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_AS12	NC_041914	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B09_Aci08	NC_048081	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B1	NC_042003	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B1	NC_042003	Acinetobacter baumannii NIPH 2061	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B3	NC_042004	Acinetobacter nosocomialis	GCF_005281455.1	species
Acinetobacter phage vB_AbaP_B3	NC_042004	Acinetobacter baumannii NIPH 2061	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B5	NC_042005	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_B5	NC_042005	Acinetobacter baumannii NIPH 2061	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_D2	NC_042124	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_PD-6A3	NC_028684	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaP_PD-6A3	NC_028684	Staphylococcus aureus	GCF_000013425.1	species
Acinetobacter phage vB_AbaP_PD-AB9	NC_028679	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage vB_AbaS_TRS1	NC_031098	Acinetobacter baumannii A118	GCF_008632635.1	species
Acinetobacter phage vB_ApiM_fHyAci03	NC_049438	Acinetobacter pittii	GCF_000191145.1	species
Acinetobacter phage vB_ApiM_fHyAci03	NC_049438	Acinetobacter nosocomialis	GCF_005281455.1	species
Acinetobacter phage vB_ApiP_P1	NC_042006	Acinetobacter pittii	GCF_000191145.1	species
Acinetobacter phage vB_ApiP_P1	NC_042006	Acinetobacter baumannii NIPH 290	GCF_008632635.1	species
Acinetobacter phage vB_ApiP_P2	NC_042007	Acinetobacter pittii	GCF_000191145.1	species
Acinetobacter phage VB_ApiP_XC38	NC_055823	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage VB_ApiP_XC38	NC_055823	Acinetobacter pittii	GCF_000191145.1	species
Acinetobacter phage WCHABP1	NC_041966	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage WCHABP12	NC_041924	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage WCHABP5	NC_041967	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage YMC-13-01-C62	NC_024785	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage YMC/09/02/B1251	NC_019541	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage YMC11/11/R3177	NC_041866	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage YMC11/12/R2315	NC_028855	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage YMC11/12/R2315	NC_028855	Staphylococcus aureus	GCF_000013425.1	species
Acinetobacter phage YMC13/03/R2096	NC_027332	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter phage ZZ1	NC_018087	Acinetobacter baumannii	GCF_008632635.1	species
Acinetobacter virus 133	NC_015250	Acinetobacter johnsonii	GCF_021496365.1	species
Actinomyces phage Av-1	DQ123818	Actinomyces naeslundii	GCF_016127855.1	species
Actinomyces phage Av-1	DQ123818	Actinomyces naeslundii MG1	GCF_016127855.1	species
Actinomyces virus Av1	NC_009643	Actinomyces naeslundii	GCF_016127855.1	species
Aeromonas phage 25AhydR2PP	NC_047966	Aeromonas hydrophila subsp. hydrophila ATCC 7966	GCF_000014805.1	strain
Aeromonas phage 2L372D	NC_048769	Aeromonas hydrophila subsp. hydrophila	GCF_002850695.3	subspecies
Aeromonas phage 2L372X	NC_048770	Aeromonas hydrophila subsp. hydrophila	GCF_002850695.3	subspecies
Aeromonas phage 2_D05	NC_054465	Aeromonas rivipollensis	GCF_003015165.1	species
Aeromonas phage 4L372D	NC_048771	Aeromonas hydrophila subsp. hydrophila	GCF_002850695.3	subspecies
Aeromonas phage 4L372XY	NC_048772	Aeromonas hydrophila subsp. hydrophila	GCF_002850695.3	subspecies
Aeromonas phage 4_4572	NC_048773	Aeromonas hydrophila subsp. hydrophila	GCF_002850695.3	subspecies
Aeromonas phage 4_D05	NC_054466	Aeromonas rivipollensis	GCF_003015165.1	species
Aeromonas phage 50AhydR13PP	NC_055746	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage 60AhydR15PP	NC_055747	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage Aeh1	NC_005260	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage Aes508	NC_019543	Aeromonas salmonicida	GCF_012931585.1	species
Aeromonas phage Ah1	NC_055733	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage Ahp1	NC_047866	Aeromonas hydrophila	GCF_017310215.1	species
Aeromonas phage Ahp1	NC_047866	Aeromonas hydrophila subsp. hydrophila ATCC 7966	GCF_000014805.1	strain
