virus_name	viral_acc	evidence	report_host	host_taxid	host_lineage	host_tax_rank
Pseudomonas virus phi6	NC_003714, NC_003715, NC_003716	NCBI Virus, RefSeq, UniProt	Pseudomonas savastanoi pv. phaseolicola	319	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 2	strain
Pseudomonas virus phiCTX	NC_003278	Literature, NCBI Virus, RefSeq	Pseudomonas aeruginosa	287	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	species
Pseudomonas virus phiKZ	AF399011	Literature, UniProt	Pseudomonas aeruginosa	287	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	species
Pseudomonas virus PMG1	NC_016765	NCBI Virus, RefSeq	Pseudomonas aeruginosa	287	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	species
Pseudomonas virus Yua	NC_010116	NCBI Virus, RefSeq, UniProt	Pseudomonas aeruginosa	287	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	species
Psychrobacter phage pOW20-A	NC_020841	NCBI Virus, RefSeq	Psychrobacter sp. OW20	728061	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Psychrobacter	species
Psychrobacter phage Psymv2	NC_023734	NCBI Virus, RefSeq	Psychrobacter sp. MV2	936347	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Psychrobacter	species
Puniceispirillum phage HMO-2011	NC_021864	NCBI Virus, RefSeq	Candidatus Puniceispirillum marinum IMCC1322	488538	Bacteria; Proteobacteria; Alphaproteobacteria; SAR116 cluster; Candidatus Puniceispirillum; Candidatus Puniceispirillum marinum	strain
Pyrobaculum filamentous virus 1	NC_029548	RefSeq	Pyrobaculum arsenaticum	121277	Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum	species
Pyrobaculum spherical virus	NC_005872	RefSeq, UniProt	Thermoproteus tenax	2271	Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Thermoproteus	species
Pyrobaculum spherical virus	NC_005872	RefSeq	Pyrobaculum sp. D11	266022	Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum	species
Pyrococcus abyssi virus 1	NC_009597	NCBI Virus, RefSeq	Pyrococcus abyssi	29292	Archaea; Euryarchaeota; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus	species
Ralstonia phage Adzire	NC_054462	NCBI Virus, RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Anchaing	NC_054891	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Bakoly	NC_054463	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Cimandef	NC_054956	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Claudette	NC_054962	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Dina	NC_055026	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage DU_RP_I	NC_047888	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Eline	NC_054957	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Firinga	NC_054961	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Gamede	NC_054958	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Gerry	NC_054959	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Gervaise	NC_054963	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage GP4	NC_054964	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage Heva	NC_054960	RefSeq	Ralstonia pseudosolanacearum	1310165	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage p12J	NC_005131	NCBI Virus, RefSeq	Ralstonia pickettii	329	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
Ralstonia phage PE226	NC_015297	RefSeq	Ralstonia solanacearum	305	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia	species
