viral_acc	virus_name	report_host	corrected_name	find_name	gcfs	new_gcf	assembly_category	assembly_level	tax_ranks
NC_042004	Acinetobacter phage vB_AbaP_B3	Acinetobacter baumannii NIPH 528	Acinetobacter baumannii NIPH 528	Acinetobacter baumannii NIPH 528	['GCF_000369285.1']	GCF_000369285.1	Unreference	Scaffold	strain
NC_042005	Acinetobacter phage vB_AbaP_B5	Acinetobacter baumannii NIPH 2061	Acinetobacter baumannii NIPH 2061	Acinetobacter baumannii NIPH 2061	['GCF_000368225.1']	GCF_000368225.1	Unreference	Scaffold	strain
NC_042137	Acinetobacter phage vB_AbaS_Loki	Acinetobacter baumannii ATCC 17978	Acinetobacter baumannii ATCC 17978	Acinetobacter baumannii ATCC 17978	['GCF_013372085.1', 'GCF_004797155.2', 'GCF_004797155.1', 'GCF_000015425.1']	GCF_013372085.1	Unreference	Complete Genome	strain
NC_028256	Aeropyrum pernix ovoid virus 1	Aeropyrum pernix K1	Aeropyrum pernix K1	Aeropyrum pernix K1	['GCF_000011125.1']	GCF_000011125.1	Represent	Complete Genome	strain
NC_028268	Aeropyrum pernix spindle-shaped virus 1	Aeropyrum pernix K1	Aeropyrum pernix K1	Aeropyrum pernix K1	['GCF_000011125.1']	GCF_000011125.1	Represent	Complete Genome	strain
NC_021532	Alteromonas phage vB_AmaP_AD45-P1	Alteromonas macleodii str. 'Balearic Sea AD45'	Alteromonas macleodii str. 'Balearic Sea AD45'	Alteromonas macleodii str. 'Balearic Sea AD45'	['GCF_000300175.1']	GCF_000300175.1	Unreference	Complete Genome	strain
NC_010355	Azospirillum phage Cd	Azospirillum brasilense Cd	Azospirillum brasilense Cd	Azospirillum brasilense Cd	['GCF_008274965.1']	GCF_008274965.1	Unreference	Complete Genome	
NC_030945	Bacillus phage BalMu-1	Bacillus alcalophilus CGMCC 1.3604	Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604	Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604	['GCF_004802515.1']	GCF_004802515.1	Represent	Scaffold	strain
NC_027352	Bacillus phage JBP901	Bacillus cereus ATCC 14579	Bacillus cereus ATCC 14579	Bacillus cereus ATCC 14579	['GCF_006094295.1', 'GCF_000007825.1']	GCF_006094295.1	Unreference	Complete Genome	strain
NC_007734	Bacillus virus Wbeta	Bacillus cereus ATCC 4342	Bacillus cereus ATCC 4342	Bacillus cereus ATCC 4342	['GCF_000832845.1']	GCF_000832845.1	Unreference	Complete Genome	strain
NC_028841	Bacteriophage Lily	Paenibacillus larvae ATCC 9545	Paenibacillus larvae ATCC 9545	Paenibacillus larvae ATCC 9545	['GCF_002951935.1']	GCF_002951935.1	Represent	Complete Genome	
NC_031264	Brucella phage BiPBO1	Brucella inopinata strain BO1	Brucella inopinata strain BO1	Brucella inopinata strain BO1	['GCF_900095155.1']	GCF_900095155.1	Represent	Complete Genome	
NC_019446	Brucella phage Tb	Brucella abortus 544	Brucella abortus 544	Brucella abortus 544	['GCF_000369945.1']	GCF_000369945.1	Unreference	Scaffold	strain
NC_022916	Burkholderia phage JG068	Burkholderia cenocepacia K56-2	Burkholderia cenocepacia K56-2	Burkholderia cenocepacia K56-2	['GCF_014357995.1']	GCF_014357995.1	Unreference	Complete Genome	
NC_009604	Burkholderia virus BcepNY3	Burkholderia cenocepacia HI2424	Burkholderia cenocepacia HI2424	Burkholderia cenocepacia HI2424	['GCF_000203955.1']	GCF_000203955.1	Unreference	Complete Genome	strain
NC_005284	Burkholderia virus phi1026b	Burkholderia pseudomallei 1026b	Burkholderia pseudomallei 1026b	Burkholderia pseudomallei 1026b	['GCF_000959125.1', 'GCF_000260515.1']	GCF_000959125.1	Unreference	Complete Genome	strain
NC_018861	Campylobacter phage CP30A	Campylobacter jejuni subsp. jejuni PT14	Campylobacter jejuni subsp. jejuni PT14	Campylobacter jejuni subsp. jejuni PT14	['GCF_000302555.5', 'GCF_000302555.4', 'GCF_000302555.2', 'GCF_000302555.1']	GCF_000302555.5	Unreference	Complete Genome	strain
NC_025422	Caulobacter phage Cr30	Caulobacter crescentus CB15	Caulobacter crescentus CB15	Caulobacter crescentus CB15	['GCF_000006905.1']	GCF_000006905.1	Unreference	Complete Genome	strain
NC_021796	Cellulophaga phage phi38:1	Cellulophaga baltica NN016038	Cellulophaga baltica NN016038	Cellulophaga baltica NN016038	['GCF_000477035.2']	GCF_000477035.2	Unreference	Complete Genome	strain
NC_030950	Clostridium phage phiCT19406A	Clostridium tetani ATCC 19406	Clostridium tetani ATCC 19406	Clostridium tetani ATCC 19406	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	GCF_003013635.1	Unreference	Complete Genome	
NC_030947	Clostridium phage phiCT19406B	Clostridium tetani ATCC 19406	Clostridium tetani ATCC 19406	Clostridium tetani ATCC 19406	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	GCF_003013635.1	Unreference	Complete Genome	
NC_029006	Clostridium phage phiCT19406C	Clostridium tetani ATCC 19406	Clostridium tetani ATCC 19406	Clostridium tetani ATCC 19406	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	GCF_003013635.1	Unreference	Complete Genome	
