find_name	find_taxid	find_taxrank
Acholeplasma laidlawii	2148	species
Acholeplasma laidlawii	2148	species
Achromobacter xylosoxidans	85698	species
Achromobacter xylosoxidans	85698	species
Achromobacter xylosoxidans	85698	species
Achromobacter xylosoxidans	85698	species
Achromobacter xylosoxidans	85698	species
Achromobacter xylosoxidans	85698	species
Achromobacter	222	genus
Achromobacter xylosoxidans	85698	species
Achromobacter xylosoxidans	85698	species
Achromobacter xylosoxidans	85698	species
Achromobacter spanius	217203	species
Achromobacter xylosoxidans	85698	species
Achromobacter xylosoxidans	85698	species
Achromobacter xylosoxidans	85698	species
Achromobacter xylosoxidans	85698	species
Achromobacter xylosoxidans	85698	species
Acidianus	12914	genus
Acidianus	12914	genus
Acidianus hospitalis	563177	species
Acidianus	12914	genus
Acidianus	12914	genus
Acidianus	12914	genus
Acidianus	12914	genus
Acidianus	12914	genus
Acidianus	12914	genus
Acidianus	12914	genus
Acidianus	12914	genus
Acidianus	12914	genus
Acidianus brierleyi	41673	species
Acidianus	12914	genus
Acidithiobacillus caldus ATCC 51756	637389	strain
Acidovorax citrulli	80869	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter johnsonii	40214	species
Acinetobacter johnsonii	40214	species
Acinetobacter baumannii	470	species
Acinetobacter genomosp. 16BJ	70347	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter lwoffii	28090	species
Acinetobacter baylyi ADP1	62977	strain
Acinetobacter baumannii ATCC 17978	400667	strain
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter soli	487316	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii NIPH 2061	1217645	strain
Acinetobacter nosocomialis	106654	species
Acinetobacter baumannii NIPH 2061	1217645	strain
Acinetobacter baumannii	470	species
Acinetobacter baumannii NIPH 2061	1217645	strain
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Staphylococcus aureus	1280	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii A118	927193	strain
Acinetobacter pittii	48296	species
Acinetobacter nosocomialis	106654	species
Acinetobacter pittii	48296	species
Acinetobacter baumannii NIPH 290	1217631	strain
Acinetobacter pittii	48296	species
Acinetobacter baumannii	470	species
Acinetobacter pittii	48296	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Staphylococcus aureus	1280	species
Acinetobacter baumannii	470	species
Acinetobacter baumannii	470	species
Acinetobacter johnsonii	40214	species
Actinomyces naeslundii	1655	species
Actinomyces naeslundii	1655	species
Actinomyces naeslundii	1655	species
Actinoplanes	1865	genus
Geobacillus	129337	genus
Aeribacillus	1055323	genus
Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	strain
Aeromonas hydrophila subsp. hydrophila	196023	subspecies
Aeromonas hydrophila subsp. hydrophila	196023	subspecies
Aeromonas rivipollensis	948519	species
Aeromonas hydrophila subsp. hydrophila	196023	subspecies
Aeromonas hydrophila subsp. hydrophila	196023	subspecies
Aeromonas hydrophila subsp. hydrophila	196023	subspecies
Aeromonas rivipollensis	948519	species
Aeromonas hydrophila	644	species
Aeromonas hydrophila	644	species
Aeromonas hydrophila	644	species
