virus_name	viral_acc	evidence
Acholeplasma phage MV-L51	NC_001341	Literature, RefSeq
Acholeplasma virus L2	NC_001447	Literature, NCBI Virus, RefSeq
Achromobacter phage 83-24	NC_028834	Literature, RefSeq
Achromobacter phage JWAlpha	NC_023556	Literature, RefSeq
Achromobacter phage JWDelta	KF787094	Literature, NCBI Virus, RefSeq
Achromobacter phage JWF	NC_029075	Literature, NCBI Virus, RefSeq
Achromobacter phage JWX	NC_028768	Literature, RefSeq
Achromobacter phage Mano	NC_054147	Literature
Achromobacter phage phiAxp-1	NC_029033	Literature, NCBI Virus, RefSeq
Achromobacter phage phiAxp-2	NC_029106	Literature, NCBI Virus, RefSeq
Achromobacter phage phiAxp-3	NC_028908	RefSeq
Achromobacter phage vB_AchrS_AchV4	NC_052974	Literature
Achromobacter phage vB_AxyP_19-32_Axy04	NC_054967	Literature, RefSeq
Achromobacter phage vB_AxyP_19-32_Axy10	NC_054971	Literature, RefSeq
Achromobacter phage vB_AxyP_19-32_Axy11	NC_054972	Literature, RefSeq
Achromobacter phage vB_AxyP_19-32_Axy12	NC_054968	Literature, RefSeq
Achromobacter phage vB_AxyP_19-32_Axy24	NC_054969	Literature, RefSeq
Acidianus filamentous virus 1	NC_005830	UniProt
Acidianus spindle-shaped virus 1	NC_013585	Literature, NCBI Virus, RefSeq
Acidithiobacillus phage AcaML1	JX507079	Literature, NCBI Virus, RefSeq
Acidovorax phage ACP17	NC_041997	Literature, RefSeq
Acinetobacter phage AB1	NC_042028	Literature, RefSeq
Acinetobacter phage AbKT21phiIII	NC_048142	Literature, RefSeq
Acinetobacter phage Abp1	NC_021316	RefSeq
Acinetobacter phage AbP2	NC_041998	Literature, RefSeq
Acinetobacter phage AbTZA1	NC_049445	Literature, RefSeq
Acinetobacter phage Acj61	NC_014661	Literature, RefSeq
Acinetobacter phage Acj9	NC_014663	Literature, RefSeq
Acinetobacter phage AM101	NC_049511	RefSeq
Acinetobacter phage AP22	NC_017984	RefSeq
Acinetobacter phage Fri1	NC_028848	RefSeq
Acinetobacter phage IME-200	NC_028987	RefSeq
Acinetobacter phage IMEAB3	NC_023590	RefSeq
Acinetobacter phage KARL-1	NC_049441	Literature, RefSeq
Acinetobacter phage Loki	NC_042137	Literature
Acinetobacter phage Loki	NC_042137	Literature
Acinetobacter phage Loki	NC_042137	Literature
Acinetobacter phage Loki	NC_042137	Literature, RefSeq
Acinetobacter phage LZ35	NC_031117	Literature, RefSeq
Acinetobacter phage Petty	NC_023570	RefSeq
Acinetobacter phage phiAB1	NC_028675	Literature, RefSeq
Acinetobacter phage phiAB6	NC_031086	Literature, RefSeq
Acinetobacter phage phiAC-1	NC_028995	Literature, NCBI Virus, RefSeq
Acinetobacter phage Presley	NC_023581	Literature, RefSeq
Acinetobacter phage SH-Ab 15519	NC_041905	Literature, RefSeq
Acinetobacter phage SWH-Ab-1	NC_047896	RefSeq
Acinetobacter phage SWH-Ab-3	NC_047883	RefSeq
Acinetobacter phage vB_AbaM-IME-AB2	NC_041857	Literature, RefSeq
Acinetobacter phage vB_AbaM_Acibel004	NC_025462	NCBI Virus, RefSeq
Acinetobacter phage vB_AbaM_Apostate	NC_049491	RefSeq
Acinetobacter phage vB_AbaM_B09_Aci01-1	NC_048074	Literature, RefSeq
Acinetobacter phage vB_AbaM_B09_Aci02-2	NC_048075	Literature, RefSeq
Acinetobacter phage vB_AbaM_B09_Aci05	NC_048080	Literature, RefSeq
Acinetobacter phage vB_AbaM_Berthold	NC_049490	RefSeq
Acinetobacter phage vB_AbaM_Kimel	NC_049492	RefSeq
Acinetobacter phage vB_AbaM_Konradin	NC_049479	RefSeq
Acinetobacter phage vB_AbaM_Lazarus	NC_049493	RefSeq
Acinetobacter phage vB_AbaM_ME3	NC_041884	Literature, RefSeq
Acinetobacter phage vB_AbaM_phiAbaA1	NC_031280	NCBI Virus, RefSeq
Acinetobacter phage vB_AbaM_PhT2	NC_049494	Literature, RefSeq
Acinetobacter phage vB_AbaP_46-62_Aci07	NC_048076	Literature, RefSeq
Acinetobacter phage vB_AbaP_Acibel007	NC_025457	RefSeq
Acinetobacter phage vB_AbaP_AS11	NC_041915	Literature, RefSeq
Acinetobacter phage vB_AbaP_AS12	NC_041914	Literature, RefSeq
Acinetobacter phage vB_AbaP_B09_Aci08	NC_048081	Literature, RefSeq
Acinetobacter phage vB_AbaP_B1	NC_042003	Literature, RefSeq
Acinetobacter phage vB_AbaP_B1	NC_042003	Literature
Acinetobacter phage vB_AbaP_B3	NC_042004	Literature
Acinetobacter phage vB_AbaP_B3	NC_042004	Literature
Acinetobacter phage vB_AbaP_B5	NC_042005	Literature, RefSeq
Acinetobacter phage vB_AbaP_B5	NC_042005	Literature, RefSeq
Acinetobacter phage vB_AbaP_D2	NC_042124	Literature, RefSeq
Acinetobacter phage vB_AbaP_PD-6A3	NC_028684	Literature, RefSeq
Acinetobacter phage vB_AbaP_PD-6A3	NC_028684	Literature
Acinetobacter phage vB_AbaP_PD-AB9	NC_028679	Literature, RefSeq
Acinetobacter phage vB_AbaS_TRS1	NC_031098	Literature, NCBI Virus, RefSeq
Acinetobacter phage vB_ApiM_fHyAci03	NC_049438	Literature, RefSeq
Acinetobacter phage vB_ApiM_fHyAci03	NC_049438	Literature
Acinetobacter phage vB_ApiP_P1	NC_042006	Literature, RefSeq
