gcf	find_name	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
GCF_900476025.1	Acholeplasma laidlawii	Unreference	Complete Genome	2148	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasma laidlawii;t__
GCF_008432465.1	Achromobacter xylosoxidans	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
GCF_900636675.1	Achromobacter spanius	Represent	Complete Genome	217203	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter spanius;t__
GCF_000213215.1	Acidianus hospitalis	Represent	Complete Genome	563177	species	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus hospitalis;t__
GCF_003201835.2	Acidianus brierleyi	Represent	Complete Genome	41673	species	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus brierleyi;t__
GCF_000175575.2	Acidithiobacillus caldus ATCC 51756	Unreference	Complete Genome	637389	strain	k__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus caldus;t__Acidithiobacillus caldus ATCC 51756
GCF_001593665.2	Acidovorax citrulli	Represent	Complete Genome	80869	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__Acidovorax citrulli;t__
GCF_008632635.1	Acinetobacter baumannii	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
GCF_021496365.1	Acinetobacter johnsonii	Unreference	Complete Genome	40214	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii;t__
GCF_019343495.1	Acinetobacter lwoffii	Represent	Complete Genome	28090	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii;t__
GCF_000046845.1	Acinetobacter baylyi ADP1	Represent	Complete Genome	62977	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baylyi;t__Acinetobacter baylyi ADP1
GCF_013372085.1	Acinetobacter baumannii ATCC 17978	Unreference	Complete Genome	400667	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__Acinetobacter baumannii ATCC 17978
GCF_018139125.1	Acinetobacter soli	Represent	Complete Genome	487316	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter soli;t__
GCF_005281455.1	Acinetobacter nosocomialis	Represent	Complete Genome	106654	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis;t__
