host_name	host_taxid	host_tax_rank	host_lineage	find_name	gcfs	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Acholeplasma laidlawii	2148	species	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	Acholeplasma laidlawii	['GCF_900476025.1', 'GCF_000018785.1']	GCF_900476025.1	Unreference	Complete Genome	2148	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasma laidlawii;t__
Achromobacter xylosoxidans	85698	species	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter spanius	217203	species	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	Achromobacter spanius	['GCF_900636675.1']	GCF_900636675.1	Represent	Complete Genome	217203	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter spanius;t__
Acidianus hospitalis	563177	species	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	Acidianus hospitalis	['GCF_000213215.1']	GCF_000213215.1	Represent	Complete Genome	563177	species	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus hospitalis;t__
Acidianus brierleyi	41673	species	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	Acidianus brierleyi	['GCF_003201835.2']	GCF_003201835.2	Represent	Complete Genome	41673	species	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus brierleyi;t__
Acidithiobacillus caldus ATCC 51756	637389	strain	Bacteria; Proteobacteria; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus; Acidithiobacillus caldus	Acidithiobacillus caldus ATCC 51756	['GCF_000175575.2']	GCF_000175575.2	Unreference	Complete Genome	637389	strain	k__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus caldus;t__Acidithiobacillus caldus ATCC 51756
Acidovorax citrulli	80869	species	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax	Acidovorax citrulli	['GCF_001593665.2']	GCF_001593665.2	Represent	Complete Genome	80869	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__Acidovorax citrulli;t__
Acinetobacter baumannii	470	species	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome	470	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii;t__
Acinetobacter johnsonii	40214	species	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	Acinetobacter johnsonii	['GCF_021496365.1', 'GCF_021496345.1', 'GCF_021496325.1', 'GCF_021496295.1', 'GCF_021432745.1', 'GCF_020162195.1', 'GCF_003939325.2', 'GCF_019334405.1', 'GCF_017068175.1', 'GCF_016728805.1', 'GCF_016726625.1', 'GCF_016725945.1', 'GCF_016027055.1', 'GCF_015602645.1', 'GCF_008180305.1', 'GCF_004337595.1', 'GCF_003952785.1', 'GCF_003335165.1', 'GCF_001484935.1']	GCF_021496365.1	Unreference	Complete Genome	40214	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii;t__
Acinetobacter lwoffii	28090	species	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	Acinetobacter lwoffii	['GCF_019343495.1']	GCF_019343495.1	Represent	Complete Genome	28090	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii;t__
