class	Count	Percent
Gammaproteobacteria	1800	0.3757
Actinomycetia	1434	0.2993
Bacilli	889	0.1856
Betaproteobacteria	127	0.0265
	114	0.0238
Alphaproteobacteria	107	0.0223
Flavobacteriia	79	0.0165
Thermoprotei	62	0.0129
Clostridia	61	0.0127
Halobacteria	39	0.0081
Epsilonproteobacteria	19	0.004
Mollicutes	10	0.0021
-	9	0.0019
Bacteroidia	8	0.0017
Deinococci	7	0.0015
Chlamydiia	6	0.0013
Oligoflexia	3	0.0006
Thermococci	2	0.0004
Methanobacteria	2	0.0004
Spirochaetia	2	0.0004
Fusobacteriia	2	0.0004
Aquificae	1	0.0002
Deltaproteobacteria	1	0.0002
Acidithiobacillia	1	0.0002
Rhodothermia	1	0.0002
Erysipelotrichia	1	0.0002
Coriobacteriia	1	0.0002
Opitutae	1	0.0002
Nanohaloarchaea	1	0.0002
Nitrososphaeria	1	0.0002
