order	Count	Percent
Enterobacterales	1164	0.243
Corynebacteriales	1109	0.2315
Lactobacillales	464	0.0968
Bacillales	425	0.0887
Pseudomonadales	257	0.0536
Vibrionales	155	0.0324
Micrococcales	130	0.0271
Burkholderiales	126	0.0263
Streptomycetales	99	0.0207
Synechococcales	96	0.02
Propionibacteriales	90	0.0188
Flavobacteriales	79	0.0165
Moraxellales	64	0.0134
Eubacteriales	60	0.0125
Sulfolobales	54	0.0113
Xanthomonadales	50	0.0104
Aeromonadales	42	0.0088
Hyphomicrobiales	41	0.0086
Alteromonadales	38	0.0079
Rhodobacterales	38	0.0079
Halobacteriales	19	0.004
Haloferacales	18	0.0038
Pasteurellales	18	0.0038
Campylobacterales	18	0.0038
Caulobacterales	16	0.0033
-	11	0.0023
Bacteroidales	8	0.0017
Thermales	7	0.0015
Bacteroidetes Order II. Incertae sedis	6	0.0013
Chlamydiales	6	0.0013
Oceanospirillales	6	0.0013
Desulfurococcales	5	0.001
Chromatiales	5	0.001
Entomoplasmatales	5	0.001
Nostocales	4	0.0008
Oscillatoriales	4	0.0008
Pelagibacterales	4	0.0008
	4	0.0008
Sphingomonadales	3	0.0006
Mycoplasmatales	3	0.0006
Bdellovibrionales	3	0.0006
Thermoproteales	3	0.0006
Leptospirales	2	0.0004
Thermococcales	2	0.0004
Fusobacteriales	2	0.0004
Actinomycetales	2	0.0004
Rhodospirillales	2	0.0004
Acholeplasmatales	2	0.0004
Methanobacteriales	2	0.0004
Natrialbales	2	0.0004
Bifidobacteriales	2	0.0004
Acidithiobacillales	1	0.0002
Erysipelotrichales	1	0.0002
Nautiliales	1	0.0002
Micromonosporales	1	0.0002
Neisseriales	1	0.0002
Myxococcales	1	0.0002
Thermoanaerobacterales	1	0.0002
Rhodothermales	1	0.0002
Aquificales	1	0.0002
Nitrosopumilales	1	0.0002
Nitrososphaerales	1	0.0002
Puniceicoccales	1	0.0002
Eggerthellales	1	0.0002
Pseudonocardiales	1	0.0002
Pseudanabaenales	1	0.0002
Chroococcales	1	0.0002
