family	Count	Percent
Enterobacteriaceae	962	0.2008
Mycobacteriaceae	855	0.1785
Streptococcaceae	285	0.0595
Pseudomonadaceae	257	0.0536
Gordoniaceae	204	0.0426
Staphylococcaceae	184	0.0384
Bacillaceae	163	0.034
Vibrionaceae	155	0.0324
Streptomycetaceae	99	0.0207
Burkholderiaceae	96	0.02
Enterococcaceae	95	0.0198
Propionibacteriaceae	90	0.0188
Lactobacillaceae	84	0.0175
Flavobacteriaceae	78	0.0163
Micrococcaceae	76	0.0159
Synechococcaceae	75	0.0157
Moraxellaceae	64	0.0134
Yersiniaceae	56	0.0117
Erwiniaceae	56	0.0117
Microbacteriaceae	51	0.0106
Xanthomonadaceae	50	0.0104
Pectobacteriaceae	49	0.0102
Sulfolobaceae	46	0.0096
Aeromonadaceae	42	0.0088
Paenibacillaceae	39	0.0081
Listeriaceae	37	0.0077
Rhizobiaceae	30	0.0063
-	30	0.0063
Morganellaceae	29	0.0061
Clostridiaceae	29	0.0061
Roseobacteraceae	27	0.0056
Alcaligenaceae	24	0.005
Nocardiaceae	23	0.0048
Peptostreptococcaceae	22	0.0046
Pseudoalteromonadaceae	20	0.0042
Prochlorococcaceae	18	0.0038
Pasteurellaceae	18	0.0038
Haloarculaceae	17	0.0035
Corynebacteriaceae	17	0.0035
Caulobacteraceae	16	0.0033
Halorubraceae	15	0.0031
Campylobacteraceae	14	0.0029
Rhodobacteraceae	11	0.0023
Hafniaceae	10	0.0021
Brucellaceae	9	0.0019
Oscillospiraceae	8	0.0017
Alteromonadaceae	7	0.0015
Thermaceae	7	0.0015
Shewanellaceae	7	0.0015
Chlamydiaceae	6	0.0013
Rhodothermaceae	6	0.0013
Comamonadaceae	6	0.0013
Bacteroidaceae	5	0.001
Desulfurococcaceae	5	0.001
Chromatiaceae	5	0.001
Spiroplasmataceae	5	0.001
Tsukamurellaceae	5	0.001
	5	0.001
Helicobacteraceae	4	0.0008
Oceanospirillaceae	4	0.0008
Pelagibacteraceae	4	0.0008
Mycoplasmataceae	3	0.0006
Aphanizomenonaceae	3	0.0006
Haloferacaceae	3	0.0006
Sphingomonadaceae	3	0.0006
Bdellovibrionaceae	3	0.0006
Oscillatoriaceae	3	0.0006
Thermoproteaceae	3	0.0006
Natrialbaceae	2	0.0004
Bruguierivoracaceae	2	0.0004
Halomonadaceae	2	0.0004
Brevibacteriaceae	2	0.0004
Fusobacteriaceae	2	0.0004
Methanobacteriaceae	2	0.0004
Halobacteriaceae	2	0.0004
Acholeplasmataceae	2	0.0004
Bifidobacteriaceae	2	0.0004
Actinomycetaceae	2	0.0004
Leptospiraceae	2	0.0004
Colwelliaceae	2	0.0004
Tannerellaceae	2	0.0004
Thermococcaceae	2	0.0004
Idiomarinaceae	2	0.0004
Nitrosopumilaceae	1	0.0002
Aquificaceae	1	0.0002
Pseudonocardiaceae	1	0.0002
Acidithiobacillaceae	1	0.0002
Azospirillaceae	1	0.0002
Nostocaceae	1	0.0002
Microcoleaceae	1	0.0002
Chromobacteriaceae	1	0.0002
Acetobacteraceae	1	0.0002
Phyllobacteriaceae	1	0.0002
Micromonosporaceae	1	0.0002
Nitrososphaeraceae	1	0.0002
Leptolyngbyaceae	1	0.0002
Erysipelotrichaceae	1	0.0002
Myxococcaceae	1	0.0002
Eggerthellaceae	1	0.0002
Thermoanaerobacterales Family III. Incertae Sedis	1	0.0002
Aurantimonadaceae	1	0.0002
Salisaetaceae	1	0.0002
Lachnospiraceae	1	0.0002
Weeksellaceae	1	0.0002
Nitratiruptoraceae	1	0.0002
Microcystaceae	1	0.0002
Intrasporangiaceae	1	0.0002
