genus	Count	Percent
Mycolicibacterium	782	0.1632
Escherichia	459	0.0958
Pseudomonas	257	0.0536
Salmonella	229	0.0478
Lactococcus	207	0.0432
Gordonia	204	0.0426
Staphylococcus	184	0.0384
Vibrio	151	0.0315
Klebsiella	136	0.0284
Bacillus	132	0.0276
-	99	0.0207
Streptomyces	98	0.0205
Enterococcus	95	0.0198
Cutibacterium	81	0.0169
Streptococcus	78	0.0163
Arthrobacter	75	0.0157
Synechococcus	75	0.0157
Acinetobacter	62	0.0129
Ralstonia	52	0.0109
Shigella	50	0.0104
Microbacterium	49	0.0102
Erwinia	48	0.01
Burkholderia	44	0.0092
Aeromonas	42	0.0088
Flavobacterium	41	0.0086
Yersinia	38	0.0079
Pectobacterium	37	0.0077
Paenibacillus	35	0.0073
Listeria	34	0.0071
Cellulophaga	31	0.0065
Xanthomonas	29	0.0061
Clostridium	29	0.0061
Sulfolobus	28	0.0058
Cronobacter	26	0.0054
Citrobacter	26	0.0054
Mycobacterium	24	0.005
Clostridioides	22	0.0046
Rhodococcus	22	0.0046
Lactobacillus	21	0.0044
Pseudoalteromonas	20	0.0042
Proteus	20	0.0042
Serratia	18	0.0038
Prochlorococcus	18	0.0038
Corynebacterium	17	0.0035
Haloarcula	17	0.0035
Leuconostoc	17	0.0035
Priestia	17	0.0035
Caulobacter	16	0.0033
Achromobacter	16	0.0033
Lacticaseibacillus	16	0.0033
Enterobacter	16	0.0033
Stenotrophomonas	15	0.0031
Lactiplantibacillus	15	0.0031
Halorubrum	15	0.0031
Campylobacter	14	0.0029
Rhizobium	13	0.0027
Dickeya	12	0.0025
Acidianus	11	0.0023
Mannheimia	10	0.0021
Edwardsiella	10	0.0021
Brucella	9	0.0019
Ruegeria	9	0.0019
Propionibacterium	9	0.0019
Pantoea	8	0.0017
Faecalibacterium	8	0.0017
Bordetella	8	0.0017
Shewanella	7	0.0015
Thermus	7	0.0015
Alteromonas	7	0.0015
Rhodobacter	7	0.0015
Sinorhizobium	7	0.0015
Chlamydia	6	0.0013
Geobacillus	6	0.0013
Providencia	6	0.0013
Agrobacterium	6	0.0013
Levilactobacillus	6	0.0013
Salinibacter	5	0.001
Sulfitobacter	5	0.001
Bacteroides	5	0.001
Rheinheimera	5	0.001
Tsukamurella	5	0.001
Aeropyrum	5	0.001
Spiroplasma	5	0.001
	5	0.001
Dinoroseobacter	4	0.0008
Helicobacter	4	0.0008
Xylella	4	0.0008
Roseobacter	4	0.0008
Brevibacillus	4	0.0008
Oenococcus	4	0.0008
Candidatus Pelagibacter	4	0.0008
Limosilactobacillus	3	0.0006
Phormidium	3	0.0006
Marinomonas	3	0.0006
Saccharolobus	3	0.0006
Delftia	3	0.0006
Nodularia	3	0.0006
Mycobacteroides	3	0.0006
Liberibacter	3	0.0006
Pasteurella	3	0.0006
Morganella	3	0.0006
Bdellovibrio	3	0.0006
Brochothrix	3	0.0006
Weissella	2	0.0004
Parabacteroides	2	0.0004
Actinomyces	2	0.0004
Paracoccus	2	0.0004
Raoultella	2	0.0004
Halobacterium	2	0.0004
Fusobacterium	2	0.0004
Salinivibrio	2	0.0004
Leptospira	2	0.0004
Mycoplasma	2	0.0004
Aggregatibacter	2	0.0004
Sodalis	2	0.0004
Croceibacter	2	0.0004
Haemophilus	2	0.0004
Acholeplasma	2	0.0004
Methanothermobacter	2	0.0004
Bifidobacterium	2	0.0004
Alkalihalobacillus	2	0.0004
Sphingomonas	2	0.0004
Lentibacter	2	0.0004
Psychrobacter	2	0.0004
Brevibacterium	2	0.0004
Rhodovulum	2	0.0004
Nonlabens	2	0.0004
Clavibacter	2	0.0004
Tenacibaculum	2	0.0004
Thermococcus	1	0.0002
Lelliottia	1	0.0002
Hydrogenobaculum	1	0.0002
Nitratiruptor	1	0.0002
Candidatus Puniceispirillum	1	0.0002
Haloferax	1	0.0002
Rhodothermus	1	0.0002
Metallosphaera	1	0.0002
Sphingobium	1	0.0002
Nitrosopumilus	1	0.0002
Roseovarius	1	0.0002
Thermoproteus	1	0.0002
Glaesserella	1	0.0002
Stygiolobus	1	0.0002
Rhodoferax	1	0.0002
Actinoplanes	1	0.0002
Loktanella	1	0.0002
Riemerella	1	0.0002
Celeribacter	1	0.0002
Mesorhizobium	1	0.0002
Halogranum	1	0.0002
Nitrincola	1	0.0002
Saccharomonospora	1	0.0002
Microcystis	1	0.0002
Thalassotalea	1	0.0002
Nostoc	1	0.0002
Iodobacter	1	0.0002
Myxococcus	1	0.0002
Acidithiobacillus	1	0.0002
Leptolyngbya	1	0.0002
Kluyvera	1	0.0002
Gluconobacter	1	0.0002
Curvibacter	1	0.0002
Aliivibrio	1	0.0002
Candidatus Azobacteroides	1	0.0002
Butyrivibrio	1	0.0002
Salicola	1	0.0002
Leclercia	1	0.0002
Eggerthella	1	0.0002
Natrialba	1	0.0002
Sinomonas	1	0.0002
Planktothrix	1	0.0002
Halomonas	1	0.0002
Salisaeta	1	0.0002
Erysipelothrix	1	0.0002
Natrinema	1	0.0002
Sutcliffiella	1	0.0002
Nitrososphaera	1	0.0002
Colwellia	1	0.0002
Tetrasphaera	1	0.0002
Photobacterium	1	0.0002
Azospirillum	1	0.0002
Acidovorax	1	0.0002
Kitasatospora	1	0.0002
Candidatus Hamiltonella	1	0.0002
Pyrobaculum	1	0.0002
Pyrococcus	1	0.0002
Evansella	1	0.0002
Halogeometricum	1	0.0002
Anoxybacillus	1	0.0002
Aurantimonas	1	0.0002
Parageobacillus	1	0.0002
Thermoanaerobacterium	1	0.0002
Nocardia	1	0.0002
