species	Count	Percent
Mycolicibacterium smegmatis	779	0.1626
Escherichia coli	450	0.0939
-	293	0.0612
Salmonella enterica	204	0.0426
Pseudomonas aeruginosa	183	0.0382
Lactococcus lactis	175	0.0365
Gordonia terrae	174	0.0363
Staphylococcus aureus	152	0.0317
Klebsiella pneumoniae	122	0.0255
Enterococcus faecalis	82	0.0171
Cutibacterium acnes	81	0.0169
Vibrio cholerae	56	0.0117
Arthrobacter sp. ATCC 21022	55	0.0115
Acinetobacter baumannii	50	0.0104
Microbacterium foliorum	39	0.0081
Erwinia amylovora	39	0.0081
Bacillus thuringiensis	36	0.0075
Ralstonia solanacearum	35	0.0073
Paenibacillus larvae	34	0.0071
Listeria monocytogenes	32	0.0067
Bacillus cereus	32	0.0067
Cellulophaga baltica	29	0.0061
Streptomyces griseus	28	0.0058
Vibrio parahaemolyticus	27	0.0056
Synechococcus sp. WH 7803	25	0.0052
Shigella flexneri	24	0.005
Streptococcus pneumoniae	24	0.005
Aeromonas hydrophila	22	0.0046
Clostridioides difficile	22	0.0046
Cronobacter sakazakii	20	0.0042
Streptococcus thermophilus	20	0.0042
Lactococcus cremoris	19	0.004
Pseudomonas syringae	19	0.004
Proteus mirabilis	19	0.004
Synechococcus sp.	18	0.0038
Clostridium perfringens	18	0.0038
Arthrobacter globiformis	18	0.0038
Bacillus subtilis	17	0.0035
Pectobacterium atrosepticum	17	0.0035
Priestia megaterium	17	0.0035
Burkholderia cenocepacia	17	0.0035
Salmonella sp.	16	0.0033
Streptomyces lividans	16	0.0033
Citrobacter freundii	16	0.0033
Pectobacterium carotovorum	16	0.0033
Gordonia rubripertincta	16	0.0033
Flavobacterium psychrophilum	15	0.0031
Yersinia enterocolitica	15	0.0031
Sulfolobus islandicus	15	0.0031
Caulobacter vibrioides	15	0.0031
Bacillus pumilus	15	0.0031
Vibrio harveyi	15	0.0031
Ralstonia pseudosolanacearum	14	0.0029
Yersinia pestis	14	0.0029
Lactiplantibacillus plantarum	14	0.0029
Pseudomonas sp.	14	0.0029
Stenotrophomonas maltophilia	14	0.0029
Achromobacter xylosoxidans	14	0.0029
Shigella sonnei	14	0.0029
Staphylococcus epidermidis	13	0.0027
Campylobacter jejuni	12	0.0025
Serratia marcescens	12	0.0025
Streptococcus suis	11	0.0023
Prochlorococcus marinus	11	0.0023
Haloarcula hispanica	11	0.0023
Burkholderia pseudomallei	11	0.0023
Pseudomonas fluorescens	11	0.0023
Enterobacter cloacae	11	0.0023
Rhodococcus erythropolis	11	0.0023
Aeromonas salmonicida	10	0.0021
Mannheimia haemolytica	10	0.0021
Lactobacillus delbrueckii	10	0.0021
Vibrio alginolyticus	10	0.0021
Dickeya solani	10	0.0021
Xanthomonas campestris	10	0.0021
Propionibacterium freudenreichii	9	0.0019
Streptomyces venezuelae	9	0.0019
Streptococcus pyogenes	9	0.0019
Pseudomonas putida	9	0.0019
Leuconostoc mesenteroides	9	0.0019
Rhizobium etli	9	0.0019
Ruegeria pomeroyi	9	0.0019
Rhodococcus hoagii	8	0.0017
Lacticaseibacillus paracasei	8	0.0017
Pantoea agglomerans	8	0.0017
Bordetella bronchiseptica	8	0.0017
Leuconostoc pseudomesenteroides	8	0.0017
Microbacterium paraoxydans	8	0.0017
Enterococcus faecium	8	0.0017
Clostridium tetani	8	0.0017
Faecalibacterium prausnitzii	8	0.0017
Burkholderia cepacia	7	0.0015
Yersinia pseudotuberculosis	7	0.0015
Flavobacterium sp. LMO9	7	0.0015
Staphylococcus pseudintermedius	7	0.0015
Xanthomonas oryzae	7	0.0015
Thermus thermophilus	7	0.0015
Streptomyces xanthochromogenes	7	0.0015
Streptomyces coelicolor	7	0.0015
Corynebacterium xerosis	7	0.0015
Levilactobacillus brevis	6	0.0013
Corynebacterium vitaeruminis	6	0.0013
Citrobacter rodentium	6	0.0013
Rhodobacter capsulatus	6	0.0013
Flavobacterium sp. LMO6	6	0.0013
Streptomyces sp.	6	0.0013
Gordonia malaquae	6	0.0013
Vibrio breoganii	6	0.0013
Klebsiella sp.	6	0.0013
Sinorhizobium meliloti	6	0.0013
Synechococcus sp. WH 8109	6	0.0013
Streptomyces azureus	5	0.001
Edwardsiella tarda	5	0.001
Salinibacter ruber	5	0.001
Acidianus convivator	5	0.001
Rheinheimera sp. BAL341	5	0.001
Vibrio splendidus	5	0.001
Lacticaseibacillus casei	5	0.001
Agrobacterium tumefaciens	5	0.001
Sulfitobacter sp. CB2047	4	0.0008
Aeropyrum pernix	4	0.0008
Klebsiella aerogenes	4	0.0008
Lactococcus garvieae	4	0.0008
Synechococcus sp. CB0101	4	0.0008
Serratia sp. ATCC 39006	4	0.0008
Vibrio cyclitrophicus	4	0.0008
Edwardsiella ictaluri	4	0.0008
Helicobacter pylori	4	0.0008
Oenococcus oeni	4	0.0008
Pseudoalteromonas sp.	4	0.0008
Flavobacterium sp. LMO8	4	0.0008
Shigella sp.	4	0.0008
Candidatus Pelagibacter ubique	4	0.0008
Streptomyces scabiei	4	0.0008
Halorubrum sp.	4	0.0008
Haloarcula californiae	4	0.0008
Brevibacillus laterosporus	4	0.0008
Pseudoalteromonas marina	4	0.0008
Bacillus anthracis	4	0.0008
Streptomyces griseofuscus	4	0.0008
Dinoroseobacter shibae	4	0.0008
Staphylococcus sp.	4	0.0008
Burkholderia thailandensis	3	0.0006
Pseudomonas tolaasii	3	0.0006
Vibrio sp.	3	0.0006
Limosilactobacillus fermentum	3	0.0006
Klebsiella oxytoca	3	0.0006
Xanthomonas arboricola	3	0.0006
Mycobacterium sp.	3	0.0006
Xylella fastidiosa	3	0.0006
Streptomyces viridochromogenes	3	0.0006
Mycolicibacterium phlei	3	0.0006
Chlamydia psittaci	3	0.0006
Roseobacter denitrificans	3	0.0006
Synechococcus sp. WH 8017	3	0.0006
Providencia stuartii	3	0.0006
Rhizobium leguminosarum	3	0.0006
Streptococcus mutans	3	0.0006
Lactobacillus johnsonii	3	0.0006
Saccharolobus solfataricus	3	0.0006
Lactobacillus gasseri	3	0.0006
Pasteurella multocida	3	0.0006
Flavobacterium sp.	3	0.0006
Erwinia pyrifoliae	3	0.0006
Vibrio vulnificus	3	0.0006
Brochothrix thermosphacta	3	0.0006
Bdellovibrio bacteriovorus	3	0.0006
Acinetobacter johnsonii	3	0.0006
Mycobacteroides abscessus	3	0.0006
Xanthomonas citri	3	0.0006
Shigella boydii	3	0.0006
Streptomyces avermitilis	3	0.0006
Gordonia sp.	3	0.0006
Lacticaseibacillus rhamnosus	3	0.0006
Nodularia spumigena	3	0.0006
Bacillus sp. (in: Bacteria)	3	0.0006
Tsukamurella inchonensis	3	0.0006
Corynebacterium glutamicum	3	0.0006
Streptomyces toxytricini	2	0.0004
Streptococcus agalactiae	2	0.0004
Campylobacter sp.	2	0.0004
Streptomyces platensis	2	0.0004
Leptospira biflexa	2	0.0004
Geobacillus kaustophilus	2	0.0004
Vibrio coralliilyticus	2	0.0004
Tsukamurella paurometabola	2	0.0004
Sodalis glossinidius	2	0.0004
Phormidium sp. MIS-PhA	2	0.0004
Lactobacillus sp.	2	0.0004
Vibrio campbellii	2	0.0004
Burkholderia ambifaria	2	0.0004
Bifidobacterium asteroides	2	0.0004
Providencia rettgeri	2	0.0004
Shewanella putrefaciens	2	0.0004
Actinomyces naeslundii	2	0.0004
Cronobacter turicensis	2	0.0004
Pseudomonas coronafaciens	2	0.0004
Halobacterium salinarum	2	0.0004
Sulfolobus sp.	2	0.0004
Vibrio natriegens	2	0.0004
Croceibacter atlanticus	2	0.0004
Aeromonas rivipollensis	2	0.0004
Halorubrum sp. s5a-3	2	0.0004
Morganella sp. (in: Bacteria)	2	0.0004
Halorubrum sp. B2-2	2	0.0004
Lactococcus sp.	2	0.0004
Sphingomonas paucimobilis	2	0.0004
Xanthomonas vesicatoria	2	0.0004
Haemophilus influenzae	2	0.0004
Fusobacterium nucleatum	2	0.0004
Pectobacterium wasabiae	2	0.0004
Pseudomonas plecoglossicida	2	0.0004
Escherichia sp.	2	0.0004
Staphylococcus hominis	2	0.0004
Vibrio sp. YD38	2	0.0004
Bacteroides fragilis	2	0.0004
Acholeplasma laidlawii	2	0.0004
Brucella abortus	2	0.0004
Clavibacter michiganensis	2	0.0004
Pectobacterium sp.	2	0.0004
Aggregatibacter actinomycetemcomitans	2	0.0004
Bacillus sp. 6k512	2	0.0004
Streptomyces flavovirens	2	0.0004
Enterobacter sp. CT7	2	0.0004
Flavobacterium columnare	2	0.0004
Cellulophaga sp. MM#3	2	0.0004
Arthrobacter sp.	2	0.0004
Vibrio lentus	2	0.0004
Kluyvera cryocrescens	1	0.0002
Halogranum sp. SS5-1	1	0.0002
Staphylococcus xylosus	1	0.0002
Acidianus brierleyi	1	0.0002
Citrobacter sp.	1	0.0002
Acinetobacter genomosp. 16BJ	1	0.0002
Sulfitobacter sp. EE-36	1	0.0002
Acidianus sp. Acii26	1	0.0002
Citrobacter sp. TM1552	1	0.0002
Staphylococcus capitis	1	0.0002
Clostridium sporogenes	1	0.0002
Leclercia adecarboxylata	1	0.0002
Sphingobium sp. IP1	1	0.0002
Streptococcus parauberis	1	0.0002
Halorubrum sp. SP3-3	1	0.0002
Raoultella ornithinolytica	1	0.0002
Roseovarius nubinhibens	1	0.0002
Synechococcus sp. CB0201	1	0.0002
Cronobacter malonaticus	1	0.0002
Butyrivibrio fibrisolvens	1	0.0002
Alteromonas sp.	1	0.0002
Nocardia brasiliensis	1	0.0002
Morganella morganii	1	0.0002
Thermoanaerobacterium saccharolyticum	1	0.0002
Aeromonas sp. A8-29	1	0.0002
Halorubrum sodomense	1	0.0002
Pseudomonas savastanoi	1	0.0002
Synechococcus sp. WH 8018	1	0.0002
Aeromonas media	1	0.0002
Streptococcus gordonii	1	0.0002
Enterococcus sp.	1	0.0002
