virus_name	virus_id	host_num	lca_level	lca_name	lca_lineage
Acholeplasma phage MV-L51	NC_001341	1	species	Acholeplasma laidlawii	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasma laidlawii
Acholeplasma virus L2	NC_001447	1	species	Acholeplasma laidlawii	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasma laidlawii
Achromobacter phage 83-24	NC_028834	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage JWAlpha	NC_023556	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage JWDelta	KF787094	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage JWF	NC_029075	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage JWX	NC_028768	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage Mano	NC_054147	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage Motura	NC_049849	1	species	Achromobacter animicus	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter animicus
Achromobacter phage phiAxp-1	NC_029033	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage phiAxp-2	NC_029106	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage phiAxp-3	NC_028908	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage vB_AchrS_AchV4	NC_052974	1	species	Achromobacter spanius	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter spanius
Achromobacter phage vB_AxyP_19-32_Axy04	NC_054967	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage vB_AxyP_19-32_Axy10	NC_054971	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage vB_AxyP_19-32_Axy11	NC_054972	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage vB_AxyP_19-32_Axy12	NC_054968	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Achromobacter phage vB_AxyP_19-32_Axy24	NC_054969	1	species	Achromobacter xylosoxidans	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
Acidianus bottle-shaped virus	NC_009452	1	species	Acidianus convivator	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus convivator
Acidianus bottle-shaped virus 2 strain ABV2	NC_028938	1	order	Sulfolobales	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales
Acidianus bottle-shaped virus 3 strain ABV3	NC_028787	1	order	Sulfolobales	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales
Acidianus filamentous virus 1	NC_005830	2	genus	Acidianus	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus
Acidianus filamentous virus 2	NC_009884	2	genus	Acidianus	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus
Acidianus filamentous virus 3	NC_010155	1	species	Acidianus sp. Acii25	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus sp. Acii25
Acidianus filamentous virus 6	NC_010152	1	species	Acidianus convivator	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus convivator
Acidianus filamentous virus 7	NC_010153	1	species	Acidianus convivator	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus convivator
Acidianus filamentous virus 8	NC_010154	1	species	Acidianus convivator	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus convivator
Acidianus filamentous virus 9	NC_010537	2	genus	Acidianus	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus
Acidianus rod-shaped virus 1	NC_009965	1	species	Acidianus sp. Acii26	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus sp. Acii26
Acidianus spindle-shaped virus 1	NC_013585	1	species	Acidianus brierleyi	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus brierleyi
Acidianus two-tailed virus	NC_007409	1	species	Acidianus convivator	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus convivator
Acidithiobacillus phage AcaML1	JX507079	1	strain	Acidithiobacillus caldus ATCC 51756	k__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus caldus;t__Acidithiobacillus caldus ATCC 51756
Acidovorax phage ACP17	NC_041997	1	species	Acidovorax citrulli	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__Acidovorax citrulli
Acinetobacter phage AB1	NC_042028	1	species	Acinetobacter baumannii	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii
Acinetobacter phage AbKT21phiIII	NC_048142	1	species	Acinetobacter baumannii	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii
Acinetobacter phage Abp1	NC_021316	1	species	Acinetobacter baumannii	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii
Acinetobacter phage AbP2	NC_041998	1	species	Acinetobacter baumannii	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii
Acinetobacter phage AbTZA1	NC_049445	1	species	Acinetobacter baumannii	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii
Acinetobacter phage Ac42	NC_014660	1	genus	Acinetobacter	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter
Acinetobacter phage Acj61	NC_014661	1	species	Acinetobacter johnsonii	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
Acinetobacter phage Acj9	NC_014663	1	species	Acinetobacter johnsonii	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
Acinetobacter phage AM101	NC_049511	1	species	Acinetobacter baumannii	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii
Acinetobacter phage AP205	NC_002700	1	species	Acinetobacter genomosp. 16BJ	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter genomosp. 16BJ
