class	Count	Percent
Gammaproteobacteria	1648	0.3845
Actinomycetia	1288	0.3005
Bacilli	852	0.1988
Betaproteobacteria	120	0.028
Alphaproteobacteria	91	0.0212
	65	0.0152
Clostridia	61	0.0142
Flavobacteriia	50	0.0117
Thermoprotei	31	0.0072
Halobacteria	17	0.004
Epsilonproteobacteria	17	0.004
Bacteroidia	8	0.0019
Mollicutes	8	0.0019
Deinococci	7	0.0016
Chlamydiia	6	0.0014
Oligoflexia	3	0.0007
-	3	0.0007
Spirochaetia	2	0.0005
Fusobacteriia	2	0.0005
Acidithiobacillia	1	0.0002
Erysipelotrichia	1	0.0002
Coriobacteriia	1	0.0002
Methanobacteria	1	0.0002
Nitrososphaeria	1	0.0002
Thermococci	1	0.0002
Deltaproteobacteria	1	0.0002
