virus_name	viral_acc	report_host	host_taxid	host_lineage	host_tax_rank
Acholeplasma phage MV-L51	NC_001341	Acholeplasma laidlawii	2148	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	species
Acholeplasma virus L2	NC_001447	Acholeplasma laidlawii	2148	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	species
Achromobacter phage 83-24	NC_028834	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage JWAlpha	NC_023556	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage JWDelta	KF787094	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage JWF	NC_029075	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage JWX	NC_028768	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage Mano	NC_054147	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage Motura	NC_049849	Achromobacter animicus	1389935	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage phiAxp-1	NC_029033	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage phiAxp-2	NC_029106	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage phiAxp-3	NC_028908	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage vB_AchrS_AchV4	NC_052974	Achromobacter spanius	217203	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
Achromobacter phage vB_AxyP_19-32_Axy04	NC_054967	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species
