virus_name	viral_acc	report_host	host_taxid	host_lineage	host_tax_rank	find_name	gcfs	new_gcf	assembly_category	assembly_level
Acholeplasma phage MV-L51	NC_001341	Acholeplasma laidlawii	2148	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	species	Acholeplasma laidlawii	['GCF_003385765.1']	GCF_003385765.1	Represent	Scaffold
Acholeplasma virus L2	NC_001447	Acholeplasma laidlawii	2148	Bacteria; Terrabacteria group; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Acholeplasma	species	Acholeplasma laidlawii	['GCF_003385765.1']	GCF_003385765.1	Represent	Scaffold
Achromobacter phage 83-24	NC_028834	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage JWAlpha	NC_023556	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage JWDelta	KF787094	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage JWF	NC_029075	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage JWX	NC_028768	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage Mano	NC_054147	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage Motura	NC_049849	Achromobacter animicus	1389935	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter animicus	['GCF_013267375.1', 'GCF_008432465.1', 'GCF_008245125.1', 'GCF_900636675.1']	GCF_013267375.1	Represent	Complete Genome
Achromobacter phage phiAxp-1	NC_029033	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage phiAxp-2	NC_029106	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage phiAxp-3	NC_028908	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage vB_AchrS_AchV4	NC_052974	Achromobacter spanius	217203	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter spanius	['GCF_900636675.1']	GCF_900636675.1	Represent	Complete Genome
Achromobacter phage vB_AxyP_19-32_Axy04	NC_054967	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage vB_AxyP_19-32_Axy10	NC_054971	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage vB_AxyP_19-32_Axy11	NC_054972	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage vB_AxyP_19-32_Axy12	NC_054968	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Achromobacter phage vB_AxyP_19-32_Axy24	NC_054969	Achromobacter xylosoxidans	85698	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome
Acidianus bottle-shaped virus	NC_009452	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus convivator	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 1	NC_005830	Acidianus infernus	12915	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus infernus	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 1	NC_005830	Acidianus hospitalis	563177	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus hospitalis	['GCF_000213215.1']	GCF_000213215.1	Represent	Complete Genome
Acidianus filamentous virus 2	NC_009884	Acidianus pozzuoliensis	314564	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus pozzuoliensis	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 2	NC_009884	Acidianus sp. F28	315458	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus sp. F28	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 3	NC_010155	Acidianus sp. Acii25	315461	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus sp. Acii25	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 6	NC_010152	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus convivator	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 7	NC_010153	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus convivator	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 8	NC_010154	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus convivator	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 9	NC_010537	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus convivator	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus filamentous virus 9	NC_010537	Acidianus uzoniensis	518068	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus uzoniensis	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus rod-shaped virus 1	NC_009965	Acidianus sp. Acii26	315460	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus sp. Acii26	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidianus spindle-shaped virus 1	NC_013585	Acidianus brierleyi	41673	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus brierleyi	['GCF_003201835.2']	GCF_003201835.2	Represent	Complete Genome
Acidianus two-tailed virus	NC_007409	Acidianus convivator	269667	Archaea; TACK group; Crenarchaeota; Thermoprotei; Sulfolobales; Sulfolobaceae; Acidianus	species	Acidianus convivator	['GCF_003201835.2', 'GCF_003201765.2', 'GCF_009729015.1', 'GCF_002116695.1', 'GCF_000213215.1']	GCF_003201835.2	Represent	Complete Genome
Acidithiobacillus phage AcaML1	JX507079	Acidithiobacillus caldus ATCC 51756	637389	Bacteria; Proteobacteria; Acidithiobacillia; Acidithiobacillales; Acidithiobacillaceae; Acidithiobacillus; Acidithiobacillus caldus	strain	Acidithiobacillus caldus ATCC 51756	['GCF_000175575.2']	GCF_000175575.2	Unreference	Complete Genome
Acidovorax phage ACP17	NC_041997	Acidovorax citrulli	80869	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax	species	Acidovorax citrulli	['GCF_001593665.2']	GCF_001593665.2	Represent	Complete Genome
Acinetobacter phage AB1	NC_042028	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage AB3	NC_021337	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage AbKT21phiIII	NC_048142	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage Abp1	NC_021316	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage AbP2	NC_041998	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage AbTZA1	NC_049445	Acinetobacter baumannii	470	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex	species	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
Acinetobacter phage Acj61	NC_014661	Acinetobacter johnsonii	40214	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species	Acinetobacter johnsonii	['GCF_000368805.1']	GCF_000368805.1	Represent	Scaffold
Acinetobacter phage Acj9	NC_014663	Acinetobacter johnsonii	40214	Bacteria; Proteobacteria; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	species	Acinetobacter johnsonii	['GCF_000368805.1']	GCF_000368805.1	Represent	Scaffold
