virus	host
NC_000866	NC_007946
NC_000866	NC_008563
NC_000866	NC_009801
NC_000866	NC_010468
NC_000866	NC_010498
NC_000866	NC_011993
NC_000866	NC_012947
NC_000866	NC_017625
NC_000866	NC_017632
NC_000866	NC_017641
NC_000866	NC_017644
NC_000866	NC_017646
NC_000866	NC_016902
NC_000866	NC_017626
NC_000866	NC_017638
NC_000866	NC_017656
NC_000866	NC_009800
NC_000866	NC_010473
NC_000866	NC_017633
NC_000866	NC_007779
NC_000866	NC_011415
NC_000866	NC_011741
NC_000866	NC_011742
NC_000866	NC_011745
NC_000866	NC_011748
NC_000866	NC_012759
NC_000866	NC_012967
NC_000866	NC_013008
NC_000866	NC_013353
NC_000866	NC_013361
NC_000866	NC_013364
NC_000866	NC_017660
NC_000866	NC_017635
NC_000866	NC_017664
NC_000866	NC_017631
NC_000866	NC_012892
NC_000866	NC_012971
NC_000866	NC_013654
NC_000866	NC_020518
NC_000866	NC_013941
NC_000866	NC_017628
NC_000866	NC_017651
NC_000866	NC_017652
NC_000866	NC_017663
NC_000866	NC_017906
NC_000866	NC_018661
NC_000866	NC_018650
NC_000866	NC_020163
NC_000866	NC_022364
NC_000866	NC_022370
NC_000866	NC_022648
NC_000866	NC_000913
NC_000866	NC_011751
NC_000866	NC_011750
NC_000866	NC_017634
NC_000866	NC_018658
NC_000866	NC_002655
NC_000866	NC_002695
NC_000866	NC_004431
NC_000866	NC_008253
NC_000866	NC_011353
NC_000866	NC_011601
NC_000871	NC_017563
NC_000871	NC_017581
NC_000871	NC_017927
NC_000871	NC_008532
NC_000871	NC_006449
NC_000871	NC_006448
NC_000872	NC_017563
NC_000872	NC_017581
NC_000872	NC_017927
NC_000872	NC_008532
NC_000872	NC_006449
NC_000872	NC_006448
NC_000896	NC_008530
NC_000902	NC_007946
NC_000902	NC_008563
NC_000902	NC_009801
NC_000902	NC_010468
NC_000902	NC_010498
NC_000902	NC_011993
NC_000902	NC_012947
NC_000902	NC_017625
NC_000902	NC_017632
NC_000902	NC_017641
NC_000902	NC_017644
NC_000902	NC_017646
NC_000902	NC_016902
NC_000902	NC_017626
NC_000902	NC_017638
NC_000902	NC_017656
NC_000902	NC_009800
NC_000902	NC_010473
NC_000902	NC_017633
NC_000902	NC_007779
NC_000902	NC_011415
NC_000902	NC_011741
NC_000902	NC_011742
NC_000902	NC_011745
NC_000902	NC_011748
NC_000902	NC_012759
NC_000902	NC_012967
NC_000902	NC_013008
NC_000902	NC_013353
NC_000902	NC_013361
NC_000902	NC_013364
NC_000902	NC_017660
NC_000902	NC_017635
NC_000902	NC_017664
NC_000902	NC_017631
NC_000902	NC_012892
NC_000902	NC_012971
NC_000902	NC_013654
NC_000902	NC_020518
NC_000902	NC_013941
NC_000902	NC_017628
NC_000902	NC_017651
NC_000902	NC_017652
NC_000902	NC_017663
NC_000902	NC_017906
NC_000902	NC_018661
NC_000902	NC_018650
NC_000902	NC_020163
NC_000902	NC_022364
NC_000902	NC_022370
NC_000902	NC_022648
NC_000902	NC_000913
NC_000902	NC_011751
NC_000902	NC_011750
NC_000902	NC_017634
NC_000902	NC_018658
NC_000902	NC_002655
NC_000902	NC_002695
NC_000902	NC_004431
NC_000902	NC_008253
NC_000902	NC_011353
NC_000902	NC_011601
NC_000924	NC_007946
NC_000924	NC_008563
NC_000924	NC_009801
NC_000924	NC_010468
NC_000924	NC_010498
NC_000924	NC_011993
NC_000924	NC_012947
NC_000924	NC_017625
NC_000924	NC_017632
NC_000924	NC_017641
NC_000924	NC_017644
NC_000924	NC_017646
NC_000924	NC_016902
NC_000924	NC_017626
NC_000924	NC_017638
NC_000924	NC_017656
NC_000924	NC_009800
NC_000924	NC_010473
NC_000924	NC_017633
NC_000924	NC_007779
NC_000924	NC_011415
NC_000924	NC_011741
NC_000924	NC_011742
NC_000924	NC_011745
NC_000924	NC_011748
NC_000924	NC_012759
NC_000924	NC_012967
NC_000924	NC_013008
NC_000924	NC_013353
NC_000924	NC_013361
NC_000924	NC_013364
NC_000924	NC_017660
NC_000924	NC_017635
NC_000924	NC_017664
NC_000924	NC_017631
NC_000924	NC_012892
NC_000924	NC_012971
NC_000924	NC_013654
NC_000924	NC_020518
NC_000924	NC_013941
NC_000924	NC_017628
NC_000924	NC_017651
NC_000924	NC_017652
NC_000924	NC_017663
NC_000924	NC_017906
NC_000924	NC_018661
NC_000924	NC_018650
NC_000924	NC_020163
NC_000924	NC_022364
NC_000924	NC_022370
NC_000924	NC_022648
NC_000924	NC_000913
NC_000924	NC_011751
NC_000924	NC_011750
NC_000924	NC_017634
NC_000924	NC_018658
NC_000924	NC_002655
NC_000924	NC_002695
NC_000924	NC_004431
NC_000924	NC_008253
NC_000924	NC_011353
NC_000924	NC_011601
NC_000929	NC_007946
NC_000929	NC_008563
NC_000929	NC_009801
NC_000929	NC_010468
NC_000929	NC_010498
NC_000929	NC_011993
NC_000929	NC_012947
NC_000929	NC_017625
NC_000929	NC_017632
NC_000929	NC_017641
NC_000929	NC_017644
NC_000929	NC_017646
NC_000929	NC_016902
NC_000929	NC_017626
NC_000929	NC_017638
NC_000929	NC_017656
NC_000929	NC_009800
NC_000929	NC_010473
NC_000929	NC_017633
NC_000929	NC_007779
NC_000929	NC_011415
NC_000929	NC_011741
NC_000929	NC_011742
NC_000929	NC_011745
NC_000929	NC_011748
NC_000929	NC_012759
NC_000929	NC_012967
NC_000929	NC_013008
NC_000929	NC_013353
NC_000929	NC_013361
NC_000929	NC_013364
NC_000929	NC_017660
NC_000929	NC_017635
NC_000929	NC_017664
NC_000929	NC_017631
NC_000929	NC_012892
NC_000929	NC_012971
NC_000929	NC_013654
NC_000929	NC_020518
NC_000929	NC_013941
NC_000929	NC_017628
NC_000929	NC_017651
NC_000929	NC_017652
NC_000929	NC_017663
NC_000929	NC_017906
NC_000929	NC_018661
NC_000929	NC_018650
NC_000929	NC_020163
NC_000929	NC_022364
NC_000929	NC_022370
NC_000929	NC_022648
NC_000929	NC_000913
NC_000929	NC_011751
NC_000929	NC_011750
NC_000929	NC_017634
NC_000929	NC_018658
NC_000929	NC_002655
NC_000929	NC_002695
NC_000929	NC_004431
NC_000929	NC_008253
NC_000929	NC_011353
