virus	host	score	species_tag	genus_tag
NC_002667.1	GCF_000006865.1	3.03826592723622	1	1
NC_002668.1	GCF_000006865.1	2.119638776692198	1	1
NC_002666.1	GCF_000006865.1	2.088980118183353	1	1
NC_002671.1	GCF_000006865.1	1.223176757362145	1	1
NC_004746.1	GCF_000006865.1	1.1415093097606297	1	1
NC_056724.1	GCF_000006865.1	0.8853393935454841	1	1
NC_002796.1	GCF_000006865.1	0.8853393935454841	1	1
NC_002669.1	GCF_000006865.1	0.7560874506919837	1	1
NC_002703.1	GCF_000006865.1	0.653099513390878	1	1
NC_002747.1	GCF_000006865.1	0.4590079565667561	1	1
DQ394806.1	GCF_000006865.1	0.3566792469903853	1	1
DQ394807.1	GCF_000006865.1	0.3226783851210879	1	1
DQ838728.1	GCF_000006865.1	0.295233872608812	1	1
NC_049481.1	GCF_000006865.1	0.0484855433989788	1	1
NC_049355.1	GCF_000006865.1	0.0424932694111516	1	1
NC_049375.1	GCF_000006865.1	0.0269988655846576	1	1
NC_031069.1	GCF_000006865.1	0.0183319303981178	0	0
NC_047763.1	GCF_000006865.1	0.0182850013714076	0	0
NC_031023.1	GCF_000006865.1	0.0182848708995681	0	0
NC_031094.1	GCF_000006865.1	0.0181237199818758	0	0
NC_049485.1	GCF_000006865.1	0.0140108856766606	1	1
NC_008371.1	GCF_000006865.1	0.0126763850945251	1	1
NC_042024.1	GCF_000006865.1	0.0126111541946004	0	1
NC_001835.1	GCF_000006865.1	0.0121050648483357	1	1
AF011378.1	GCF_000006865.1	0.0121050648483357	1	1
KF676640.1	GCF_000006865.1	0.0121046393926613	1	1
NC_049486.1	GCF_000006865.1	0.0116154601226993	1	1
NC_049397.1	GCF_000006865.1	0.0113421887824897	1	1
NC_049414.1	GCF_000006865.1	0.0110922806430006	1	1
NC_009817.1	GCF_000006865.1	0.0107683764135702	1	1
NC_021860.1	GCF_000006865.1	0.0107298295271791	0	1
NC_049484.1	GCF_000006865.1	0.0106919638578958	1	1
NC_049410.1	GCF_000006865.1	0.010460776705744	1	1
KC182548.1	GCF_000006865.1	0.0102516921028705	1	1
NC_049480.1	GCF_000006865.1	0.0097047671250648	1	1
NC_010353.1	GCF_000006865.1	0.0093996258053625	0	0
NC_054992.1	GCF_000006865.1	0.0036952390031322	1	1
NC_049855.1	GCF_000006865.1	0.0034328489066071	1	1
NC_021854.1	GCF_000006865.1	0.0033551370579619	0	1
NC_049362.1	GCF_000006865.1	0.0025592223107569	1	1
NC_003356.1	GCF_000006925.2	0.3213083076923076	0	0
NC_055826.1	GCF_000006925.2	0.0013051881151197	0	0
NC_008720.1	GCF_000006925.2	0.0011132307955468	0	0
NC_048861.1	GCF_000006925.2	0.0009745399625179	0	0
NC_048664.1	GCF_000006925.2	0.0009596027007663	0	0
NC_048818.1	GCF_000006925.2	0.0008707415316642	0	0
NC_048754.1	GCF_000006925.2	0.0006046518505504	0	0
NC_049455.1	GCF_000006925.2	0.0005026860256369	0	1
NC_048673.1	GCF_000006925.2	0.0004371044974753	0	0
NC_048674.1	GCF_000006925.2	0.0004369239731506	0	0
NC_031127.1	GCF_000006925.2	0.0003198308696175	0	0
NC_042056.1	GCF_000006925.2	0.0003186489774636	0	0
NC_031120.1	GCF_000006925.2	0.000280332867504	0	0
NC_023557.1	GCF_000006925.2	0.0002737179619601	0	0
NC_041974.1	GCF_000006925.2	0.0002737139231541	0	0
NC_041973.1	GCF_000006925.2	0.0002736190455118	0	0
NC_048016.1	GCF_000006925.2	0.0002441420698101	0	0
NC_031010.1	GCF_000006925.2	0.0002427152075977	0	0
NC_027364.1	GCF_000006925.2	0.0002390125620129	0	0
NC_005260.1	GCF_000006925.2	0.0002263849181508	0	0
NC_022096.1	GCF_000006925.2	0.0002115096130379	0	0
NC_010392.1	GCF_000006945.2	3.424759055082387	1	1
NC_010391.1	GCF_000006945.2	2.6469512908737687	1	1
NC_055709.1	GCF_000006945.2	0.0014220925215329	0	0
NC_025448.1	GCF_000006945.2	0.001118776297229	0	0
NC_025829.1	GCF_000006945.2	0.0011133367474954	0	0
NC_015457.1	GCF_000006945.2	0.0011071634351701	0	0
NC_042039.1	GCF_000006945.2	0.001104739811045	0	0
NC_054929.1	GCF_000006945.2	0.0011038104709084	0	0
NC_019503.1	GCF_000006945.2	0.0011033066264662	0	0
NC_054917.1	GCF_000006945.2	0.0011017740031479	0	0
NC_031103.1	GCF_000006945.2	0.0011015162391718	0	0
NC_054914.1	GCF_000006945.2	0.0010994963369963	0	0
NC_055723.1	GCF_000006945.2	0.001099127934806	0	0
NC_041919.1	GCF_000006945.2	0.0010922268532832	0	0
NC_054935.2	GCF_000006945.2	0.0010917205496059	0	0
NC_054902.1	GCF_000006945.2	0.0010902303318773	0	0
KM606996.1	GCF_000006945.2	0.0010843649417437	0	0
KM606995.1	GCF_000006945.2	0.0010843649417437	0	0
KM606998.1	GCF_000006945.2	0.0010843585023308	0	0
KM606997.1	GCF_000006945.2	0.0010843585023308	0	0
KM606999.1	GCF_000006945.2	0.0010843198674592	0	0
NC_025419.1	GCF_000006945.2	0.0010843134285816	0	0
NC_054937.1	GCF_000006945.2	0.0010721649454629	1	1
NC_041864.1	GCF_000006945.2	0.0010687201843432	0	0
NC_055781.1	GCF_000006945.2	0.0010619267831921	0	0
NC_054900.1	GCF_000006945.2	0.0010615685032721	0	0
NC_054934.1	GCF_000006945.2	0.0010599241290291	0	0
NC_025449.1	GCF_000006945.2	0.0010552799146195	0	0
HM137666.1	GCF_000006945.2	0.0010549229220932	0	0
KM607003.1	GCF_000006945.2	0.0010546357255305	0	0
NC_008515.1	GCF_000006945.2	0.0010543462535415	0	0
NC_042077.1	GCF_000006945.2	0.0010536348959651	0	0
KM607001.1	GCF_000006945.2	0.0010536031613124	0	0
NC_055724.1	GCF_000006945.2	0.0010535427815489	0	0
NC_054922.1	GCF_000006945.2	0.0010534663337111	0	0
NC_054908.1	GCF_000006945.2	0.0010533937605396	0	0
NC_054925.1	GCF_000006945.2	0.0010531210298465	0	0
NC_054938.1	GCF_000006945.2	0.0010508630675168	0	0
NC_054918.1	GCF_000006945.2	0.0010487215926018	0	0
NC_000866.4	GCF_000006945.2	0.0010485373261576	0	0
NC_054933.1	GCF_000006945.2	0.0010483093298072	0	0
NC_054923.1	GCF_000006945.2	0.0010482535601265	0	0
NC_027353.1	GCF_000006945.2	0.0010469433686693	0	0
NC_054939.1	GCF_000006945.2	0.0010457915538096	0	0
NC_019399.1	GCF_000006945.2	0.0010448606896222	0	0
NC_024125.2	GCF_000006945.2	0.001044712708494	0	0
NC_054901.1	GCF_000006945.2	0.0010441122042073	0	0
NC_054903.1	GCF_000006945.2	0.0010438056259533	0	0
NC_054926.1	GCF_000006945.2	0.0010429421768707	0	0
NC_027404.1	GCF_000006945.2	0.0010424382394135	0	0
NC_055780.1	GCF_000006945.2	0.0010384113299756	0	0
NC_019505.1	GCF_000006945.2	0.0010375469204335	0	0
NC_054915.1	GCF_000006945.2	0.001037446212791	0	0
NC_055741.1	GCF_000006945.2	0.0010373619848387	0	0
NC_054911.1	GCF_000006945.2	0.0010371654075593	0	0
NC_054927.1	GCF_000006945.2	0.0010370420644391	0	0
NC_054920.1	GCF_000006945.2	0.0010369686369834	0	0
NC_054919.1	GCF_000006945.2	0.001035998175658	0	0
NC_031011.1	GCF_000006945.2	0.001034986656252	0	0
NC_030953.1	GCF_000006945.2	0.0010313668326985	0	0
NC_042129.1	GCF_000006945.2	0.00103125845689	0	0
NC_028448.1	GCF_000006945.2	0.00103125845689	0	0
NC_018855.1	GCF_000006945.2	0.0010274905709455	0	0
NC_042130.1	GCF_000006945.2	0.0010257408934954	0	0
NC_028927.1	GCF_000006945.2	0.0010257408934954	0	0
NC_054905.1	GCF_000006945.2	0.0010256182837471	0	0
NC_012635.1	GCF_000006945.2	0.0010255814340178	0	0
NC_027979.1	GCF_000006945.2	0.0010255388032137	0	0
NC_027983.1	GCF_000006945.2	0.0010249016036073	0	0
NC_054944.1	GCF_000006945.2	0.0010247886252682	0	0
NC_031047.1	GCF_000006945.2	0.0010242167828072	0	0
NC_031085.1	GCF_000006945.2	0.0010232427955879	0	0
NC_054904.1	GCF_000006945.2	0.0010232061806474	0	0
NC_054906.1	GCF_000006945.2	0.0010229788153134	0	0
NC_055708.1	GCF_000006945.2	0.0010222812022115	0	0
NC_054945.1	GCF_000006945.2	0.0010217710243646	0	0
NC_054943.1	GCF_000006945.2	0.0010215412279664	0	0
NC_042078.1	GCF_000006945.2	0.0010207742457409	0	0
NC_054913.1	GCF_000006945.2	0.0010199915597268	0	0
NC_024794.1	GCF_000006945.2	0.0010190597544794	0	0
NC_004928.1	GCF_000006945.2	0.0010175879684888	0	0
NC_041863.1	GCF_000006945.2	0.001017017418051	0	0
NC_054941.1	GCF_000006945.2	0.0010168718615441	0	0
NC_029091.1	GCF_000006945.2	0.0010167884292917	0	0
NC_054909.1	GCF_000006945.2	0.0010165836320014	0	0
NC_054940.1	GCF_000006945.2	0.0010114897504978	0	0
NC_055749.1	GCF_000006945.2	0.0010107415157532	0	0
NC_054916.1	GCF_000006945.2	0.0010087196759953	0	0
NC_054899.1	GCF_000006945.2	0.0010058654537033	0	0
NC_055734.1	GCF_000006945.2	0.0010044728548918	0	0
NC_054936.1	GCF_000006945.2	0.0010041343894467	1	1
NC_025437.1	GCF_000006945.2	0.0010019446120358	0	0
NC_041990.1	GCF_000006945.2	0.0010000647522522	0	0
NC_041920.1	GCF_000006945.2	0.0009949296932818	0	0
NC_031090.1	GCF_000006945.2	0.0009921731389391	0	0
KM607002.1	GCF_000006945.2	0.0009899205428192	0	0
NC_031030.1	GCF_000006945.2	0.0009854670117338	0	0
