host	virus	score	rank	species_tag	genus_tag
GCF_000005845.2	NC_049953.1	0.1210971688124682	11	1	1
GCF_000005845.2	NC_049955.1	0.1074976679104477	14	1	1
GCF_000005845.2	NC_042057.1	0.0976755941758881	11	1	1
GCF_000005845.2	NC_019723.1	0.0906184956466341	11	1	1
GCF_000005845.2	NC_019711.1	0.0903035357807477	11	1	1
GCF_000005845.2	NC_049954.1	0.0882026727758686	14	1	1
GCF_000005845.2	NC_049951.1	0.0771303855226476	12	1	1
GCF_000005845.2	NC_001416.1	0.0768836223248525	12	1	1
GCF_000005845.2	NC_049949.1	0.0733818464174788	14	1	1
GCF_000005845.2	NC_049946.1	0.0614149544419134	14	1	1
GCF_000005845.2	NC_049948.1	0.0584124933168415	14	1	1
GCF_000005845.2	NC_049947.1	0.0413075840952401	15	1	1
GCF_000005845.2	NC_003444.1	0.0305296908884932	9	0	0
GCF_000005845.2	NC_019716.1	0.0304323516063805	14	1	1
GCF_000005845.2	NC_049952.1	0.0281941677091237	13	1	1
GCF_000005845.2	NC_009514.1	0.0268229565513281	17	1	1
GCF_000005845.2	NC_027339.1	0.0170482922191252	19	0	0
GCF_000005845.2	NC_049923.1	0.0169822282299373	12	1	1
GCF_000005845.2	NC_027984.1	0.01674407996255	10	1	1
GCF_000005845.2	NC_049921.1	0.0167149624494511	9	1	1
GCF_000005845.2	NC_049942.1	0.0166579397881044	16	1	1
GCF_000005845.2	NC_030919.1	0.0164155745202508	17	0	0
GCF_000005845.2	NC_049920.1	0.0163575885285501	9	1	1
GCF_000005845.2	NC_004913.3	0.0161318327598302	11	1	1
GCF_000005845.2	NC_008464.1	0.0158506059298117	11	1	1
GCF_000005845.2	KJ909655.1	0.0157964620442612	11	1	1
GCF_000005845.2	NC_019442.1	0.0157948389868314	4	1	1
GCF_000005845.2	NC_029120.1	0.0156659804517453	9	0	0
GCF_000005845.2	NC_000924.1	0.0156599367601751	9	1	1
GCF_000005845.2	NC_041935.1	0.0155593969849246	12	1	1
GCF_000005845.2	NC_049919.1	0.0155092066792281	11	1	1
GCF_000005845.2	NC_049925.1	0.0155051770055212	10	1	1
GCF_000005845.2	AP004402.1	0.0154587355298308	9	1	1
GCF_000005845.2	NC_004914.3	0.015401210410487	13	1	1
GCF_000005845.2	NC_049918.1	0.0153951757497581	4	1	1
