host	virus	score	rank	species_tag	genus_tag
GCF_000005845.2	NC_049955.1	0.1960251591308165	11	1	1
GCF_000005845.2	NC_049953.1	0.1951009941978655	12	1	1
GCF_000005845.2	NC_049954.1	0.1660285605192822	11	1	1
GCF_000005845.2	NC_042057.1	0.1546530241118229	12	1	1
GCF_000005845.2	NC_019723.1	0.1415913994478658	13	1	1
GCF_000005845.2	NC_049949.1	0.1415221323765663	14	1	1
GCF_000005845.2	NC_001416.1	0.1383905201847346	12	1	1
GCF_000005845.2	NC_019711.1	0.1354553036711216	12	1	1
GCF_000005845.2	NC_049951.1	0.1186621315733041	12	1	1
GCF_000005845.2	NC_049946.1	0.1140563439635535	16	1	1
GCF_000005845.2	NC_049948.1	0.1119572788572796	14	1	1
GCF_000005845.2	NC_049947.1	0.0767140847483031	22	1	1
GCF_000005845.2	NC_049952.1	0.0563883354182474	18	1	1
GCF_000005845.2	NC_019716.1	0.0538418528420579	25	1	1
GCF_000005845.2	NC_009514.1	0.0469401739648242	27	1	1
GCF_000005845.2	NC_003444.1	0.0388559702217187	20	0	0
GCF_000005845.2	NC_029120.1	0.0384528611088295	8	0	0
GCF_000005845.2	NC_027339.1	0.0294470501966709	22	0	0
GCF_000005845.2	NC_049923.1	0.0293329396698918	11	1	1
GCF_000005845.2	NC_049942.1	0.0291513946291828	20	1	1
GCF_000005845.2	NC_049921.1	0.0288712987763247	9	1	1
GCF_000005845.2	NC_000924.1	0.0284726122912275	9	1	1
GCF_000005845.2	NC_049920.1	0.0282540165493138	9	1	1
GCF_000005845.2	AP004402.1	0.0281067918724196	9	1	1
GCF_000005845.2	NC_049922.1	0.0276338862182038	11	1	1
GCF_000005845.2	NC_019442.1	0.0272819946136179	5	1	1
GCF_000005845.2	NC_041935.1	0.0268753220648698	12	1	1
GCF_000005845.2	NC_049925.1	0.0267816693731731	9	1	1
GCF_000005845.2	NC_049941.1	0.0265550704660014	27	1	1
GCF_000005845.2	NC_004913.3	0.0263975445160859	12	1	1
GCF_000005845.2	NC_028696.2	0.0260177971841888	22	0	0
GCF_000005845.2	NC_027984.1	0.0258772144875773	12	1	1
GCF_000005845.2	KJ909655.1	0.0258487560724275	11	1	1
GCF_000005845.2	NC_004914.3	0.025201980671706	13	1	1
GCF_000005845.2	NC_010237.1	0.0248719681362883	12	1	1
GCF_000005845.2	NC_049944.1	0.0248633444196063	27	1	1
GCF_000005845.2	NC_049919.1	0.0239687739588071	12	1	1
GCF_000005845.2	NC_049918.1	0.0237925443405353	5	1	1
GCF_000005845.2	NC_004813.1	0.0236641215259796	19	1	1
GCF_000005845.2	NC_025434.1	0.0236413272938962	9	0	0
GCF_000005845.2	NC_028449.1	0.0232127861064355	8	1	1
GCF_000005845.2	NC_049924.1	0.0229972280431433	13	1	1
GCF_000005845.2	NC_049943.1	0.0227021557084963	24	1	1
GCF_000005845.2	NC_049945.1	0.0224319519784265	28	1	1
GCF_000005845.2	NC_028656.1	0.0223730361610188	9	1	1
GCF_000005845.2	NC_011356.1	0.0222644680851063	25	1	1
GCF_000005845.2	NC_008464.1	0.0216144626315614	12	1	1
GCF_000005845.2	NC_011357.1	0.0209125623119378	25	1	1
GCF_000005845.2	NC_005841.1	0.0207678538812785	16	0	0
GCF_000005845.2	NC_021190.1	0.0207502478873239	17	1	1
GCF_000005845.2	NC_011802.1	0.0204955113135118	17	0	0
GCF_000005845.2	NC_031940.1	0.0199750637802907	26	0	0
GCF_000005845.2	NC_019704.1	0.019903012056338	34	1	1
GCF_000005845.2	NC_030919.1	0.0194002244330237	17	0	0
GCF_000005845.2	KF030445.1	0.0181648100035908	32	1	1
GCF_000005845.2	NC_005856.1	0.0177805907172995	7	1	1
GCF_000005845.2	NC_019717.1	0.0166378309747387	31	1	1
GCF_000005845.2	NC_042128.1	0.0154876960418222	8	1	1
GCF_000005845.2	NC_042346.1	0.0129602285009253	20	0	0
GCF_000005845.2	NC_019710.1	0.0126552881355932	27	1	1
GCF_000005845.2	NC_000902.1	0.0119620311115486	20	1	1
GCF_000005845.2	NC_028685.1	0.0119109815277402	14	0	0
GCF_000005845.2	NC_028660.1	0.0115896465962152	11	1	1
GCF_000005845.2	NC_049917.1	0.0110954677028148	11	1	1
GCF_000005845.2	NC_049390.1	0.0110503759741841	27	1	1
GCF_000005845.2	NC_011976.1	0.0106009717314487	23	0	0
GCF_000005845.2	NC_010393.1	0.0104579112129144	39	0	0
GCF_000005845.2	NC_022749.1	0.0096990794305548	39	0	0
GCF_000005845.2	NC_010391.1	0.0091379350701027	40	0	0
GCF_000005845.2	NC_006949.1	0.0090914571428571	29	0	0
GCF_000005845.2	NC_021857.1	0.0087880650994575	37	0	0
GCF_000005845.2	NC_019545.1	0.0084557237884067	40	0	0
GCF_000005845.2	NC_021862.1	0.0083959701492537	4	0	0
GCF_000005845.2	NC_010392.1	0.0082286226310036	43	0	0
GCF_000005845.2	NC_004313.1	0.0069942065804876	41	0	0
GCF_000005845.2	NC_002730.1	0.0067678032221845	28	1	1
GCF_000005845.2	NC_019708.1	0.0059691278095491	35	1	1
GCF_000005845.2	NC_029015.2	0.0056253311050762	29	0	0
GCF_000005845.2	NC_028701.2	0.0056253311050762	29	0	0
GCF_000005845.2	NC_001901.1	0.0055248603773584	26	1	1
GCF_000005845.2	NC_024146.1	0.0050245451659553	4	1	1
GCF_000005845.2	NC_019927.1	0.0048603087521791	26	0	0
GCF_000005845.2	NC_049385.1	0.0043137004658286	44	1	1
GCF_000005845.2	NC_055845.1	0.0039799273255813	41	0	0
GCF_000005845.2	NC_000935.1	0.0037345668601467	8	1	1
GCF_000005845.2	NC_016160.1	0.0036522124328305	35	1	1
GCF_000005845.2	NC_004348.1	0.0035791624671206	44	0	0
GCF_000005845.2	NC_019705.1	0.0035218700172863	36	1	1
GCF_000005845.2	NC_002167.1	0.0034682633645424	40	1	1
GCF_000005845.2	NC_011551.1	0.0034489071161612	7	0	0
GCF_000005845.2	NC_028699.1	0.0034461296023564	46	0	0
GCF_000005845.2	NC_047875.1	0.0033884707533456	37	0	0
GCF_000005845.2	NC_019769.1	0.0033698306128734	36	1	1
GCF_000005845.2	NC_019714.1	0.0033644770153231	33	1	1
GCF_000005845.2	NC_014900.1	0.0032790953008344	39	0	0
GCF_000005845.2	NC_002371.2	0.0032405033074489	43	0	0
GCF_000005845.2	BK000583.1	0.0032405033074489	43	0	0
GCF_000005845.2	AF527608.1	0.0032405033074489	43	0	0
GCF_000005845.2	NC_031019.1	0.0032339151857255	41	0	0
GCF_000005845.2	NC_027398.1	0.0032214093232151	28	0	0
GCF_000005845.2	NC_002166.1	0.0031801722657112	42	1	1
GCF_000005845.2	NC_019501.1	0.0031782232759925	26	1	1
GCF_000005845.2	NC_019715.1	0.0031228015564202	37	1	1
GCF_000005845.2	NC_049388.1	0.0031136808709175	50	1	1
GCF_000005845.2	NC_005344.1	0.0031043188279589	34	0	0
GCF_000005845.2	AF547987.1	0.0031043188279589	34	0	0
GCF_000005845.2	NC_049457.1	0.0030764090277161	53	1	1
GCF_000005845.2	CP000711.1	0.0030739483174571	36	1	1
GCF_000005845.2	NC_019767.1	0.003048140455734	36	1	1
GCF_000005845.2	NC_013059.1	0.003016332885906	33	0	0
GCF_000005845.2	NC_019709.1	0.0029445973969735	34	1	1
GCF_000005845.2	NC_016158.1	0.0028844785783443	37	1	1
GCF_000005845.2	NC_022750.1	0.0028190936124658	58	1	1
GCF_000005845.2	NC_031946.1	0.0027744136191677	43	0	0
GCF_000005845.2	NC_049926.1	0.0027625152585929	42	1	1
GCF_000005845.2	NC_055844.1	0.002628266528341	52	0	0
GCF_000005845.2	NC_049386.1	0.002559626783418	61	1	1
GCF_000005845.2	NC_019934.1	0.0024915349123346	34	0	0
GCF_000005845.2	NC_019706.1	0.0024122608695652	44	1	1
GCF_000005845.2	NC_019720.1	0.0023389963735267	45	1	1
GCF_000005845.2	NC_029021.1	0.0022125517309496	3	1	1
GCF_000005845.2	NC_049341.1	0.0020773994999038	38	1	1
GCF_000005845.2	NC_019768.1	0.0020425388251181	45	1	1
GCF_000005845.2	NC_026014.1	0.0018094153124476	42	1	1
GCF_000005845.2	NC_019522.1	0.0017252819168696	15	0	0
GCF_000005845.2	NC_049344.1	0.0017242476651677	43	1	1
GCF_000005845.2	NC_049391.1	0.0016011374663072	37	1	1
GCF_000005845.2	NC_003356.1	0.0015878351145038	57	1	1
GCF_000005845.2	NC_049461.1	0.0015549412577747	73	1	1
GCF_000005845.2	NC_001895.1	0.001342515404995	68	1	1
GCF_000005845.2	AF063097.1	0.001342515404995	68	1	1
GCF_000005845.2	NC_054464.1	0.0012388600528841	21	0	0
GCF_000005845.2	NC_019719.1	0.000874119630129	52	1	1
