virus_id	host_num	kingdom	phylum	class	order	family	genus	species
NC_049953.1	18	100.0	100.0	100.0	100.0	100.0	66.67	66.67
NC_049955.1	18	100.0	100.0	100.0	100.0	100.0	66.67	66.67
NC_042057.1	17	100.0	100.0	100.0	100.0	94.12	70.59	70.59
NC_019723.1	18	100.0	100.0	100.0	100.0	94.44	66.67	66.67
NC_019711.1	18	100.0	100.0	100.0	100.0	94.44	66.67	66.67
NC_049954.1	18	100.0	100.0	100.0	100.0	100.0	66.67	66.67
NC_049951.1	21	100.0	100.0	100.0	100.0	95.24	57.14	57.14
NC_001416.1	19	100.0	100.0	100.0	100.0	94.74	63.16	63.16
NC_049949.1	17	100.0	100.0	100.0	100.0	100.0	70.59	70.59
NC_049946.1	17	100.0	100.0	100.0	100.0	100.0	70.59	70.59
NC_049948.1	17	100.0	100.0	100.0	100.0	100.0	70.59	70.59
NC_049947.1	17	100.0	100.0	100.0	100.0	100.0	70.59	70.59
NC_003444.1	10	100.0	100.0	100.0	100.0	100.0	50.0	50.0
NC_019716.1	17	100.0	100.0	100.0	100.0	100.0	70.59	70.59
NC_049952.1	20	100.0	100.0	100.0	100.0	100.0	60.0	60.0
NC_009514.1	17	100.0	100.0	100.0	100.0	100.0	70.59	70.59
NC_027339.1	20	100.0	100.0	100.0	100.0	100.0	55.0	55.0
NC_049923.1	15	100.0	100.0	100.0	100.0	100.0	60.0	60.0
NC_027984.1	17	100.0	94.12	94.12	94.12	94.12	64.71	64.71
NC_049921.1	15	100.0	100.0	100.0	100.0	100.0	73.33	73.33
NC_049942.1	21	100.0	100.0	100.0	100.0	100.0	52.38	52.38
NC_030919.1	18	100.0	100.0	100.0	100.0	100.0	61.11	61.11
NC_049920.1	15	100.0	100.0	100.0	100.0	100.0	73.33	73.33
NC_004913.3	13	100.0	100.0	100.0	100.0	100.0	84.62	84.62
NC_008464.1	15	100.0	100.0	100.0	100.0	100.0	73.33	73.33
KJ909655.1	14	100.0	100.0	100.0	100.0	100.0	78.57	78.57
NC_019442.1	4	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_029120.1	9	100.0	100.0	100.0	100.0	100.0	77.78	77.78
NC_000924.1	14	100.0	100.0	100.0	100.0	100.0	78.57	78.57
NC_041935.1	17	100.0	100.0	100.0	100.0	100.0	64.71	64.71
NC_049919.1	17	100.0	100.0	100.0	100.0	100.0	58.82	58.82
NC_049925.1	16	100.0	93.75	93.75	93.75	93.75	68.75	68.75
AP004402.1	14	100.0	100.0	100.0	100.0	100.0	78.57	78.57
NC_004914.3	17	100.0	100.0	100.0	100.0	100.0	64.71	64.71
NC_049918.1	5	100.0	100.0	100.0	100.0	100.0	80.0	80.0
NC_005856.1	13	100.0	92.31	92.31	92.31	84.62	53.85	53.85
NC_010237.1	17	100.0	100.0	100.0	100.0	100.0	64.71	64.71
NC_049922.1	18	100.0	94.44	94.44	94.44	94.44	61.11	61.11
NC_028449.1	8	100.0	100.0	100.0	100.0	100.0	62.5	62.5
NC_049944.1	20	100.0	100.0	100.0	100.0	100.0	55.0	55.0
NC_049924.1	16	100.0	100.0	100.0	100.0	100.0	68.75	68.75
NC_049941.1	17	100.0	100.0	100.0	100.0	100.0	64.71	64.71
NC_028656.1	10	100.0	100.0	100.0	100.0	100.0	70.0	70.0
NC_042128.1	14	100.0	92.86	92.86	92.86	78.57	50.0	50.0
NC_049943.1	21	100.0	100.0	100.0	100.0	100.0	52.38	52.38
NC_049945.1	21	100.0	100.0	100.0	100.0	100.0	52.38	52.38
NC_019704.1	10	100.0	100.0	100.0	100.0	100.0	50.0	50.0
NC_011357.1	21	100.0	100.0	100.0	100.0	100.0	52.38	52.38
NC_011356.1	18	100.0	100.0	100.0	100.0	100.0	61.11	61.11
NC_004813.1	18	100.0	100.0	100.0	100.0	100.0	61.11	61.11
NC_002667.1	6	100.0	100.0	100.0	100.0	100.0	100.0	50.0
