host	virus	species_tag	genus_tag
GCF_000007005.1	NC_023585.1	1	1
GCF_000007005.1	NC_034620.1	0	0
GCF_000007005.1	NC_034625.1	0	0
GCF_000007005.1	NC_034623.1	0	0
GCF_000007005.1	NC_034619.1	0	0
GCF_000007005.1	NC_034628.1	0	0
GCF_000007005.1	NC_034624.1	0	0
GCF_000007005.1	NC_004087.1	0	0
GCF_000008125.1	NC_004462.2	1	1
GCF_000008645.1	NC_001902.1	1	1
GCF_000009785.1	NC_029073.1	0	0
GCF_000009885.1	NC_049945.1	0	0
GCF_000010605.1	NC_018848.1	0	1
GCF_000011125.1	NC_036595.1	1	1
GCF_000012685.1	NC_003085.1	1	1
GCF_000013845.2	NC_017978.1	1	1
GCF_000014625.1	NC_006552.1	1	1
GCF_000014625.1	NC_011373.1	1	1
GCF_000014625.1	NC_042342.1	1	1
GCF_000014625.1	NC_027986.1	1	1
GCF_000014625.1	NC_027992.1	1	1
GCF_000014625.1	NC_028667.1	1	1
GCF_000014625.1	NC_003278.1	1	1
GCF_000014625.1	NC_016765.1	1	1
GCF_000014625.1	NC_030908.1	1	1
GCF_000014625.1	NC_024782.1	1	1
GCF_000014625.1	NC_023575.1	1	1
GCF_000014625.1	NC_006548.1	1	1
GCF_000017765.1	BK000583.1	0	0
GCF_000017765.1	NC_010393.1	0	0
GCF_000021865.1	NC_020489.1	1	1
GCF_000024305.1	NC_034627.1	1	1
GCF_000024305.1	NC_005892.1	0	0
GCF_000024845.1	NC_004735.1	1	1
GCF_000026185.1	NC_015295.1	1	1
GCF_000027065.2	NC_047875.1	0	0
GCF_000027065.2	NC_019927.1	0	1
GCF_000091565.1	NC_015295.1	0	1
GCF_000153625.3	KR131710.1	1	1
GCF_000192865.1	NC_047821.1	1	1
GCF_000213215.1	NC_023585.1	0	0
GCF_000264765.2	NC_026611.1	0	1
GCF_000264765.2	NC_054464.1	1	1
GCF_000264765.2	NC_023555.1	0	1
GCF_000264765.2	NC_047833.1	0	0
GCF_000364745.1	NC_030884.1	1	1
GCF_000364745.1	NC_004087.1	1	1
GCF_000364745.1	NC_005265.1	1	1
GCF_000364745.1	NC_004086.1	1	1
GCF_000364745.1	AJ748296.1	1	1
GCF_000463345.2	NC_001317.1	0	0
GCF_000463345.2	NC_049429.1	0	0
GCF_000550805.1	NC_042139.2	1	1
GCF_000550805.1	NC_042085.1	1	1
GCF_000591035.1	NC_028268.1	0	1
GCF_000710505.1	NC_016564.1	1	1
GCF_000717535.1	NC_028748.2	1	1
GCF_000717535.1	NC_005258.1	1	1
GCF_001021915.1	NC_009543.1	1	1
GCF_001277215.2	NC_019927.1	0	1
GCF_001457555.1	KR131710.1	1	1
GCF_001676805.1	NC_027990.1	1	1
GCF_001742185.1	NC_019522.1	0	1
GCF_001941405.1	NC_006949.1	1	1
GCF_002079225.1	NC_031129.1	0	0
GCF_002079305.1	NC_031059.1	1	1
GCF_002082155.1	NC_028841.1	1	1
GCF_002082155.1	NC_028930.1	1	1
GCF_002082155.1	NC_055030.1	1	1
GCF_002082155.1	NC_054985.1	1	1
GCF_002082155.1	NC_028746.1	1	1
GCF_002082155.1	NC_028767.1	1	1
GCF_002082155.1	NC_054984.1	1	1
GCF_002082155.1	NC_055029.1	1	1
GCF_002082155.1	NC_048715.1	1	1
GCF_002082155.1	NC_048716.1	1	1
GCF_002082155.1	NC_055028.1	1	1
GCF_002082155.1	NC_041867.1	1	1
GCF_002082155.1	NC_048690.1	1	1
GCF_002082155.1	NC_048693.1	1	1
GCF_002082155.1	NC_048692.1	1	1
GCF_002285575.1	NC_028853.1	1	1
GCF_002285575.1	NC_008201.1	1	1
GCF_002285575.1	JN255163.1	1	1
GCF_002285575.1	DQ426904.1	1	1
GCF_002285575.1	NC_028743.1	1	1
GCF_002285575.1	NC_028956.1	1	1
GCF_002853115.2	NC_054653.1	1	1
GCF_002853115.2	NC_054652.1	1	1
GCF_002853115.2	NC_054654.1	1	1
GCF_002853115.2	NC_031924.1	1	1
GCF_002853115.2	NC_054636.1	0	0
GCF_002853115.2	NC_054651.1	0	0
GCF_002853115.2	NC_054650.1	0	0
GCF_002853115.2	NC_054643.1	0	0
GCF_002951935.1	NC_054985.1	1	1
GCF_002951935.1	NC_048715.1	1	1
GCF_002951935.1	NC_054984.1	1	1
GCF_002951935.1	NC_028758.1	1	1
GCF_002951935.1	NC_055030.1	1	1
GCF_002951935.1	NC_028841.1	1	1
GCF_002951935.1	NC_028930.1	1	1
GCF_002951935.1	NC_028746.1	1	1
GCF_002952315.1	NC_015295.1	0	1
GCF_003013635.1	NC_030951.1	1	1
GCF_003013635.1	NC_030947.1	1	1
GCF_003013635.1	NC_029022.1	1	1
GCF_003201835.2	NC_034625.1	0	0
GCF_003201835.2	NC_034623.1	0	0
GCF_003201835.2	NC_005892.1	0	0
GCF_003201835.2	NC_013585.1	1	1
GCF_003516125.1	NC_029015.2	0	0
GCF_003516125.1	NC_019927.1	1	1
GCF_003852155.1	NC_023585.1	1	1
GCF_003852155.1	NC_034621.1	0	0
GCF_003852155.1	NC_004087.1	0	0
GCF_003852155.1	NC_034620.1	0	0
GCF_004328765.1	NC_010392.1	1	1
GCF_005457265.1	NC_002371.2	1	1
GCF_009738105.1	NC_029030.1	1	1
GCF_013343195.2	NC_021867.1	1	1
GCF_013388375.1	NC_055839.1	1	1
GCF_013388375.1	NC_055838.1	1	1
GCF_013388375.1	NC_055837.1	1	1
GCF_013388375.1	NC_055836.1	1	1
GCF_013488025.1	NC_019522.1	1	1
GCF_014192895.1	NC_009018.1	1	1
GCF_014192895.1	NC_004586.1	0	1
GCF_014192895.1	NC_004589.1	0	1
GCF_014192895.1	NC_004585.1	0	1
GCF_014192895.1	NC_028700.1	0	1
GCF_014192895.1	NC_004588.1	0	1
GCF_014843315.1	NC_024359.1	1	1
GCF_014843315.1	NC_028871.1	1	1
GCF_014843315.1	NC_009810.1	1	1
GCF_014843315.1	NC_009815.1	1	1
GCF_014843315.1	NC_003216.1	1	1
GCF_014961685.1	NC_041918.1	1	1
GCF_015277635.1	NC_019522.1	1	1
GCF_015689455.1	NC_004586.1	0	1
GCF_015689455.1	NC_004584.1	0	1
GCF_015689455.1	NC_009819.1	1	1
GCF_015689455.1	NC_003157.5	0	1
GCF_016126715.1	NC_055023.1	1	1
GCF_016454325.1	NC_031940.1	1	1
GCF_018139125.1	NC_028995.1	1	1
