virus_name	viral_acc	virus_taxid	virus_lineage	evidence	report_host	host_taxid	host_lineage	host_tax_rank	find_name	gcfs	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Acholeplasma phage MV-L51	NC_001341	1977403	k__Viruses;p__Hofneiviricota;c__Faserviricetes;o__Tubulavirales;f__Plectroviridae;g__Plectrovirus;s__Acholeplasma virus L51;t__	Literature, RefSeq	Acholeplasma laidlawii	2148	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasma laidlawii;t__	species	Acholeplasma laidlawii	['GCF_900476025.1', 'GCF_000018785.1']	GCF_900476025.1	Unreference	Complete Genome	2148	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasma laidlawii;t__
Acholeplasma virus L2	NC_001447	46014	k__Viruses;p__;c__;o__;f__Plasmaviridae;g__Plasmavirus;s__Acholeplasma virus L2;t__	Literature, NCBI Virus, RefSeq	Acholeplasma laidlawii	2148	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasma laidlawii;t__	species	Acholeplasma laidlawii	['GCF_900476025.1', 'GCF_000018785.1']	GCF_900476025.1	Unreference	Complete Genome	2148	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasma laidlawii;t__
Achromobacter phage 83-24	NC_028834	1589747	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Steinhofvirus;s__Achromobacter virus 83-24;t__	Literature, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage JWAlpha	NC_023556	1416009	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Jwalphavirus;s__Achromobacter virus JWAlpha;t__	Literature, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage JWDelta	KF787094	1416008	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Jwalphavirus;s__Achromobacter virus JWAlpha;t__	Literature, NCBI Virus, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage JWF	NC_029075	1589748	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Achromobacter phage JWF;t__	Literature, NCBI Virus, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage JWX	NC_028768	1589746	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Steinhofvirus;s__Achromobacter virus JWX;t__	Literature, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage Mano	NC_054147	2767570	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__;s__Achromobacter phage Mano;t__	Literature	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage phiAxp-1	NC_029033	1610509	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Achromobacter phage phiAxp-1;t__	Literature, NCBI Virus, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage phiAxp-2	NC_029106	1664246	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Achromobacter phage phiAxp-2;t__	Literature, NCBI Virus, RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage phiAxp-3	NC_028908	1664247	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Schitoviridae;g__Jwalphavirus;s__Achromobacter virus Axp3;t__	RefSeq	Achromobacter xylosoxidans	85698	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__	species	Achromobacter xylosoxidans	['GCF_008432465.1']	GCF_008432465.1	Represent	Complete Genome	85698	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans;t__
Achromobacter phage vB_AchrS_AchV4	NC_052974	2796514	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Achromobacter phage vB_AchrS_AchV4;t__	Literature	Achromobacter spanius	217203	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter spanius;t__	species	Achromobacter spanius	['GCF_900636675.1']	GCF_900636675.1	Represent	Complete Genome	217203	species	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter spanius;t__
