viral_acc	virus_name	report_host	gcfs	host_name	assembly_level
NC_042004	Acinetobacter phage vB_AbaP_B3	Acinetobacter baumannii NIPH 528	['GCF_008632635.1']	Acinetobacter baumannii	represent
NC_042005	Acinetobacter phage vB_AbaP_B5	Acinetobacter baumannii NIPH 2061	['GCF_008632635.1']	Acinetobacter baumannii	represent
NC_042137	Acinetobacter phage vB_AbaS_Loki	Acinetobacter baumannii ATCC 17978	['GCF_013372085.1', 'GCF_004797155.2', 'GCF_004797155.1', 'GCF_000015425.1']	Acinetobacter baumannii ATCC 17978	complete
NC_028256	Aeropyrum pernix ovoid virus 1	Aeropyrum pernix K1	['GCF_000011125.1']	Aeropyrum pernix K1	represent
NC_028268	Aeropyrum pernix spindle-shaped virus 1	Aeropyrum pernix K1	['GCF_000011125.1']	Aeropyrum pernix K1	represent
NC_019519	Agrobacterium phage 7-7-1	Agrobacterium sp. H13-3	['GCF_000971565.1', 'GCF_000192635.1']	Agrobacterium sp. H13-3	complete
NC_042013	Agrobacterium phage Atu_ph07	Agrobacterium tumefaciens C58	['GCF_003667905.1']	Agrobacterium tumefaciens	represent
NC_021532	Alteromonas phage vB_AmaP_AD45-P1	Alteromonas macleodii str. 'Balearic Sea AD45'	['GCF_000300175.1']	Alteromonas macleodii str. 'Balearic Sea AD45'	complete
NC_010355	Azospirillum phage Cd	Azospirillum brasilense Cd	['GCF_008274965.1']	Azospirillum brasilense Cd	complete
NC_030945	Bacillus phage BalMu-1	Bacillus alcalophilus CGMCC 1.3604	['GCF_000009045.1']	Bacillus	reference
NC_031056	Bacillus phage Deep Blue	Bacillus cereus BtB2-4	['GCF_018309165.1']	Bacillus cereus	represent
NC_027352	Bacillus phage JBP901	Bacillus cereus ATCC 14579	['GCF_006094295.1', 'GCF_000007825.1']	Bacillus cereus ATCC 14579	complete
NC_007734	Bacillus virus Wbeta	Bacillus cereus ATCC 4342	['GCF_000832845.1']	Bacillus cereus ATCC 4342	complete
NC_028841	Bacteriophage Lily	Paenibacillus larvae ATCC 9545	['GCF_002951935.1']	Paenibacillus larvae ATCC 9545	represent
NC_031264	Brucella phage BiPBO1	Brucella inopinata strain BO1	['GCF_900095155.1']	Brucella inopinata strain BO1	represent
NC_019446	Brucella phage Tb	Brucella abortus 544	['GCF_000054005.1']	Brucella abortus	represent
NC_022916	Burkholderia phage JG068	Burkholderia cenocepacia K56-2	['GCF_014357995.1']	Burkholderia cenocepacia K56-2	complete
NC_009604	Burkholderia virus BcepNY3	Burkholderia cenocepacia HI2424	['GCF_000203955.1']	Burkholderia cenocepacia HI2424	complete
NC_005284	Burkholderia virus phi1026b	Burkholderia pseudomallei 1026b	['GCF_000959125.1', 'GCF_000260515.1']	Burkholderia pseudomallei 1026b	complete
NC_018861	Campylobacter phage CP30A	Campylobacter jejuni subsp. jejuni PT14	['GCF_000302555.5', 'GCF_000302555.4', 'GCF_000302555.2', 'GCF_000302555.1']	Campylobacter jejuni subsp. jejuni PT14	complete
NC_025422	Caulobacter phage Cr30	Caulobacter crescentus CB15	['GCF_000006905.1']	Caulobacter crescentus CB15	complete
NC_021803	Cellulophaga phage phi13:2	Cellulophaga baltica #13	['GCF_000468615.2']	Cellulophaga baltica	represent
NC_021796	Cellulophaga phage phi38:1	Cellulophaga baltica NN016038	['GCF_000477035.2']	Cellulophaga baltica NN016038	complete
NC_021788	Cellulophaga phage phi4:1	Cellulophaga baltica #4	['GCF_000468615.2']	Cellulophaga baltica	represent
NC_028880	Citrobacter phage phiCFP-1	Citrobacter freundii P10159	['GCF_003812345.1']	Citrobacter freundii	represent
NC_030950	Clostridium phage phiCT19406A	Clostridium tetani ATCC 19406	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	Clostridium tetani ATCC 19406	complete
NC_030947	Clostridium phage phiCT19406B	Clostridium tetani ATCC 19406	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	Clostridium tetani ATCC 19406	complete
NC_029006	Clostridium phage phiCT19406C	Clostridium tetani ATCC 19406	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	Clostridium tetani ATCC 19406	complete
NC_028991	Clostridium phage phiCT453A	Clostridium tetani ATCC 453	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	Clostridium tetani	complete
NC_029004	Clostridium phage phiCT453B	Clostridium tetani ATCC 453	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	Clostridium tetani	complete
NC_029022	Clostridium phage phiCT9441A	Clostridium tetani ATCC 9441	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	Clostridium tetani	complete
NC_018088	Colwellia phage 9A	Colwellia psychrerythaea strain 34H	['GCF_000012325.1']	Colwellia psychrerythaea	represent
NC_018276	Croceibacter phage P2559S	Croceibacter atlanticus HTCC2559	['GCF_000196315.1']	Croceibacter atlanticus HTCC2559	represent
