viral_acc	virus_name	report_host	corrected_name	find_name	gcfs	new_gcf	assembly_category	assembly_level
NC_042004	Acinetobacter phage vB_AbaP_B3	Acinetobacter baumannii NIPH 528	Acinetobacter baumannii NIPH 528	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
NC_042005	Acinetobacter phage vB_AbaP_B5	Acinetobacter baumannii NIPH 2061	Acinetobacter baumannii NIPH 2061	Acinetobacter baumannii	['GCF_008632635.1']	GCF_008632635.1	Represent	Complete Genome
NC_042013	Agrobacterium phage Atu_ph07	Agrobacterium tumefaciens C58	Agrobacterium tumefaciens C58	Agrobacterium tumefaciens	['GCF_003667905.1']	GCF_003667905.1	Represent	Complete Genome
NC_030945	Bacillus phage BalMu-1	Bacillus alcalophilus CGMCC 1.3604	Bacillus alcalophilus CGMCC 1.3604	Bacillus	['GCF_000009045.1']	GCF_000009045.1	Reference	Complete Genome
NC_031056	Bacillus phage Deep Blue	Bacillus cereus BtB2-4	Bacillus cereus BtB2-4	Bacillus cereus	['GCF_018309165.1']	GCF_018309165.1	Represent	Complete Genome
NC_019446	Brucella phage Tb	Brucella abortus 544	Brucella abortus 544	Brucella abortus	['GCF_000054005.1']	GCF_000054005.1	Represent	Complete Genome
NC_021803	Cellulophaga phage phi13:2	Cellulophaga baltica #13	Cellulophaga baltica #13	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
NC_021788	Cellulophaga phage phi4:1	Cellulophaga baltica #4	Cellulophaga baltica #4	Cellulophaga baltica	['GCF_000468615.2']	GCF_000468615.2	Represent	Complete Genome
NC_028880	Citrobacter phage phiCFP-1	Citrobacter freundii P10159	Citrobacter freundii P10159	Citrobacter freundii	['GCF_003812345.1']	GCF_003812345.1	Represent	Complete Genome
NC_028991	Clostridium phage phiCT453A	Clostridium tetani ATCC 453	Clostridium tetani ATCC 453	Clostridium tetani	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	GCF_003013635.1	Unreference	Complete Genome
NC_029004	Clostridium phage phiCT453B	Clostridium tetani ATCC 453	Clostridium tetani ATCC 453	Clostridium tetani	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	GCF_003013635.1	Unreference	Complete Genome
NC_029022	Clostridium phage phiCT9441A	Clostridium tetani ATCC 9441	Clostridium tetani ATCC 9441	Clostridium tetani	['GCF_003013635.1', 'GCF_000967115.2', 'GCF_000007625.1']	GCF_003013635.1	Unreference	Complete Genome
NC_018088	Colwellia phage 9A	Colwellia psychrerythaea strain 34H	Colwellia psychrerythaea strain 34H	Colwellia psychrerythaea	['GCF_000012325.1']	GCF_000012325.1	Represent	Complete Genome
NC_020078	Cronobacter phage vB_CskP_GAP227	Cronobacter sakazakii strain 51329	Cronobacter sakazakii strain 51329	Cronobacter sakazakii	['GCF_003516125.1']	GCF_003516125.1	Represent	Complete Genome
NC_016657	Cyanophage 9515-10a	Prochlorococcus sp. MIT9515	Prochlorococcus sp. MIT9515	Prochlorococcus	['GCF_000007925.1']	GCF_000007925.1	Represent	Complete Genome
NC_016658	Cyanophage NATL1A-7	Prochlorococcus sp. NATL1A	Prochlorococcus sp. NATL1A	Prochlorococcus	['GCF_000007925.1']	GCF_000007925.1	Represent	Complete Genome
NC_019516	Cyanophage S-TIM5	Synechococcus sp. WH8102	Synechococcus sp. WH8102	Synechococcus	['GCF_003957805.1']	GCF_003957805.1	Represent	Complete Genome
NC_028702	Delftia phage IME-DE1	Delftia sp. 670	Delftia sp. 670	Delftia	['GCF_016027815.1']	GCF_016027815.1	Represent	Complete Genome
NC_000924	Enterobacteria phage 933W	Escherichia coli O157:H7 EDL933	Escherichia coli O157:H7 EDL933	Escherichia coli	['GCF_000008865.2', 'GCF_000005845.2']	GCF_000008865.2	Reference	Complete Genome
NC_042057	Enterobacteria phage DE3	Escherichia coli BL21(DE3)	Escherichia coli BL21(DE3)	Escherichia coli	['GCF_000008865.2', 'GCF_000005845.2']	GCF_000008865.2	Reference	Complete Genome
NC_012868	Enterobacteria phage St-1	Escherichia coli strain K12	Escherichia coli strain K12	Escherichia coli strain	['GCF_002142715.1', 'GCF_001307215.1']	GCF_002142715.1	Unreference	Complete Genome
NC_031051	Enterococcus phage SANTOR1	Enterococcus faecalis ATCC 19433	Enterococcus faecalis ATCC 19433	Enterococcus faecalis ATCC	['GCF_000742975.1']	GCF_000742975.1	Unreference	Complete Genome
NC_021344	Escherichia phage Lw1	Escherichia coli BL21(DE3)	Escherichia coli BL21(DE3)	Escherichia coli	['GCF_000008865.2', 'GCF_000005845.2']	GCF_000008865.2	Reference	Complete Genome
NC_041935	Escherichia phage PA28	Escherichia coli PA28	Escherichia coli PA28	Escherichia coli	['GCF_000008865.2', 'GCF_000005845.2']	GCF_000008865.2	Reference	Complete Genome
