viral.accn,Virus.name,Reported.host.name,Host.accn,Matched.RefSeq.name,Host.taxid,Domain,Phylum,Class,Order,Family,Genus,Species,
NC_042004,Acinetobacter phage vB_AbaP_B3,Acinetobacter baumannii NIPH 528,GCF_000369285.1,Acinetobacter baumannii NIPH 528 strain=NIPH 528,1217636,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,
NC_042005,Acinetobacter phage vB_AbaP_B5,Acinetobacter baumannii NIPH 2061,GCF_000368225.1,Acinetobacter baumannii NIPH 2061 strain=NIPH 2061,1217645,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,
NC_042137,Acinetobacter phage vB_AbaS_Loki,Acinetobacter baumannii ATCC 17978,GCF_004797155.2,Acinetobacter baumannii ATCC 17978 strain=ATCC 17978 substr. PMR-High,400667,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,
NC_028256,Aeropyrum pernix ovoid virus 1,Aeropyrum pernix K1,GCF_000011125.1,Aeropyrum pernix K1 strain=K1,272557,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum pernix,
NC_028268,Aeropyrum pernix spindle-shaped virus 1,Aeropyrum pernix K1,GCF_000011125.1,Aeropyrum pernix K1 strain=K1,272557,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum pernix,
NC_019519,Agrobacterium phage 7-7-1,Agrobacterium sp. H13-3,GCF_000192635.1,Agrobacterium sp. H13-3 strain=H13-3,861208,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium sp. H13-3,
NC_042013,Agrobacterium phage Atu_ph07,Agrobacterium tumefaciens C58,GCF_000092025.1,Agrobacterium fabrum str. C58 strain=C58,176299,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium fabrum,
NC_021532,Alteromonas phage vB_AmaP_AD45-P1,Alteromonas macleodii str. 'Balearic Sea AD45',GCF_000300175.1,Alteromonas macleodii str. 'Balearic Sea AD45',1004787,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas macleodii,
NC_010355,Azospirillum phage Cd,Azospirillum brasilense Cd,GCF_008274965.1,Azospirillum brasilense strain=Cd,192,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum brasilense,
NC_030945,Bacillus phage BalMu-1,Bacillus alcalophilus CGMCC 1.3604,GCF_004802515.1,Bacillus alcalophilus ATCC 27647 = CGMCC 1.3604 strain=CGMCC 1.3604,1218173,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus alcalophilus,
