virus_id	host_num	kingdom	phylum	class	order	family	genus	species
NC_002667.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_002668.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_002671.1	2	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_002666.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_002669.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004746.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_056724.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_002796.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_002703.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_002747.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
DQ394806.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
DQ838728.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049481.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049488.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049398.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049482.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049351.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049487.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049354.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_013154.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_013153.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049369.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049474.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049409.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049424.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049400.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049358.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049412.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_001909.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049403.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049366.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049365.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049446.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049434.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_023574.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_003356.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_010392.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_010463.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_010391.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_047753.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_013599.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004589.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004585.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004584.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004587.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_003157.5	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_028700.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004588.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004586.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_009819.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_028697.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_009018.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
JX409895.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
JX409894.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
MN995824.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_013644.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
GQ478085.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004914.3	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_000924.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049942.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004913.3	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_010237.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_000902.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_011356.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049943.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049923.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049924.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049922.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_028656.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_027984.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049945.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_028449.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049954.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
AP004402.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KJ909655.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049925.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049949.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_042057.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049951.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_041935.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_019723.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_001416.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_019716.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049920.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049921.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049952.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_019711.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049918.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049919.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_028685.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_029120.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_028660.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049917.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_019442.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_025434.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_008464.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_001884.1	2	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_031017.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_011216.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_005882.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_009237.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_048710.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_048711.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_007045.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
AB746912.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_017978.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_021325.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_008265.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_009763.3	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004617.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_009761.3	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_002321.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_002486.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055039.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_012784.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_048644.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_002661.2	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055046.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055038.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055042.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055045.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_019513.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_007052.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055043.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_048658.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_007053.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055049.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055048.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_008689.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_021323.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004616.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
AF424782.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055044.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_011344.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_007054.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055041.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_022758.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_028862.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_011612.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055047.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_020199.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_021773.2	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_055040.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_027990.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_019708.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_019768.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_019715.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_011551.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_000935.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_016165.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_054954.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_004084.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_052650.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_019927.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
JX507079.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_003216.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_009810.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_028929.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_024384.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_028871.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_009815.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_021539.2	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_024387.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_003291.2	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_009812.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
GQ478082.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_013643.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_013648.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
GQ478083.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
GQ478087.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_013646.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_028671.2	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_049454.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KC413987.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KC348604.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KC348602.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KC348601.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KC348598.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
NC_008721.2	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KC348599.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KC348600.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KC348603.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
KC413988.1	1	100.0	100.0	100.0	100.0	100.0	100.0	100.0
